"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 475, 'boll_dev': 1.8000000000000003, 'bias': 0.19999999999999998}",28238.553579999996,28238.553579999996,1.425383677084037,23.43678793996241,75.0526340996677,1.425332646961888,-12.048815585283341,48,0.7043189368770764,0.3521594684385382
"{'boll_length': 475, 'boll_dev': 1.8000000000000003, 'bias': 0.21999999999999997}",27983.686019999997,27983.686019999997,1.5596687991556282,21.671369293616507,74.37524523588033,1.4677767988409525,-12.91274475593142,48,0.6489479512735327,0.32447397563676633
"{'boll_length': 490, 'boll_dev': 1.9000000000000004, 'bias': 0.21999999999999997}",27282.07076,27282.07076,1.4133952119061957,20.851402239570703,72.51048706976749,1.4066742098826241,-13.084046073518033,48,0.6201550387596899,0.31007751937984496
"{'boll_length': 475, 'boll_dev': 1.9000000000000004, 'bias': 0.19999999999999998}",27020.0657,27020.0657,1.3580435958418455,19.85349853210242,71.81412810631228,1.455098614173145,-13.609725085132721,95,0.6910299003322259,0.34551495016611294
"{'boll_length': 490, 'boll_dev': 1.8000000000000003, 'bias': 0.21999999999999997}",26868.58872,26868.58872,1.4048153985170926,22.0183889906328,71.41153148172755,1.4016454500513085,-12.202795005316053,95,0.6445182724252492,0.3222591362126246
"{'boll_length': 490, 'boll_dev': 1.9000000000000004, 'bias': 0.19999999999999998}",26666.885220000004,26666.885220000004,1.3873139382500097,20.381222345260248,70.87544244518281,1.412543630833526,-13.084046073518033,48,0.6821705426356589,0.34108527131782945
"{'boll_length': 475, 'boll_dev': 2.0000000000000004, 'bias': 0.19999999999999998}",26433.88296,26433.88296,1.2948399833711939,15.847303238051829,70.25616733554813,1.5049772647464057,-16.68036672418064,48,0.6666666666666666,0.3333333333333333
"{'boll_length': 520, 'boll_dev': 1.7000000000000002, 'bias': 0.21999999999999997}",26195.57686,26195.57686,1.3794850678976782,22.08399251740227,69.62279564119618,1.404470775866528,-11.861793939369365,48,0.6378737541528239,0.31893687707641194
"{'boll_length': 490, 'boll_dev': 1.8000000000000003, 'bias': 0.19999999999999998}",26174.79676000001,26174.79676000001,1.3579808073293673,21.61999397712134,69.5675661395349,1.4259857207141413,-12.10675488055114,95,0.70874861572536,0.35437430786268
"{'boll_length': 475, 'boll_dev': 1.9000000000000004, 'bias': 0.21999999999999997}",25879.52908,25879.52908,1.4982297441384944,19.488878572985318,68.78280154152824,1.4627085756560219,-13.279126853339394,95,0.6378737541528239,0.31893687707641194
"{'boll_length': 505, 'boll_dev': 1.8000000000000003, 'bias': 0.21999999999999997}",25794.94812,25794.94812,1.358499522120429,20.902295306976608,68.55800164784058,1.412110535680334,-12.340725141028114,77,0.6356589147286822,0.3178294573643411
"{'boll_length': 520, 'boll_dev': 1.7000000000000002, 'bias': 0.19999999999999998}",25672.340380000016,25672.340380000016,1.329795906128098,21.812782013723357,68.2321339003324,1.4381642744529477,-11.769402162387399,48,0.7286821705426356,0.3643410852713178
"{'boll_length': 475, 'boll_dev': 2.0000000000000004, 'bias': 0.21999999999999997}",25531.369339999997,25531.369339999997,1.4773247364560202,18.612776710288507,67.85746003986712,1.472083029144541,-13.71712009304186,48,0.6135105204872646,0.3067552602436323
"{'boll_length': 490, 'boll_dev': 2.700000000000001, 'bias': 0.21999999999999997}",25429.43162,25429.43162,1.5338843735189784,33.66075216098338,67.5865292225914,1.290352007291795,-7.554623704896173,100,0.4540420819490587,0.22702104097452935
"{'boll_length': 565, 'boll_dev': 2.800000000000001, 'bias': 0.19999999999999998}",25201.487499999996,25201.487499999996,1.5228266338836676,16.32345367474975,66.98069767441862,1.3519347429610007,-15.438820731291326,12,0.42967884828349945,0.21483942414174972
"{'boll_length': 505, 'boll_dev': 1.9000000000000004, 'bias': 0.21999999999999997}",25145.623300000003,25145.623300000003,1.3104081886499188,18.70407388445832,66.8322213953489,1.439966906436497,-13.443928555529364,77,0.6179401993355482,0.3089700996677741
"{'boll_length': 550, 'boll_dev': 2.800000000000001, 'bias': 0.19999999999999998}",25129.059039999993,25129.059039999993,1.4880134886786198,15.009590473484566,66.78819678405323,1.3886477902874887,-16.742001778391067,12,0.43410852713178294,0.21705426356589147
"{'boll_length': 505, 'boll_dev': 1.8000000000000003, 'bias': 0.19999999999999998}",25042.664680000013,25042.664680000013,1.3071496711218038,20.453812500863574,66.55857722259147,1.439705982687499,-12.24351923581128,77,0.7131782945736435,0.35658914728682173
"{'boll_length': 520, 'boll_dev': 2.800000000000001, 'bias': 0.19999999999999998}",24991.232340000006,24991.232340000006,1.529583068268051,23.25704041732991,66.42187997342202,1.3551397343510634,-10.745663202003078,15,0.4318936877076412,0.2159468438538206
"{'boll_length': 475, 'boll_dev': 2.9000000000000012, 'bias': 0.19999999999999998}",24925.582939999997,24925.582939999997,1.4909797734691215,29.899293506448124,66.24739651827242,1.403938753543339,-8.336512344221282,44,0.42967884828349945,0.21483942414174972
"{'boll_length': 490, 'boll_dev': 2.0000000000000004, 'bias': 0.21999999999999997}",24910.81828,24910.81828,1.2713621068412826,15.019699538663515,66.20815489700998,1.4751455351570364,-16.585430498043518,48,0.6112956810631229,0.30564784053156147
"{'boll_length': 475, 'boll_dev': 2.1000000000000005, 'bias': 0.19999999999999998}",24908.66366,24908.66366,1.2232534855284773,13.787271261608497,66.20242833222595,1.5330741100143888,-18.06642024180645,4,0.6423034330011074,0.3211517165005537
"{'boll_length': 565, 'boll_dev': 2.0000000000000004, 'bias': 0.23999999999999996}",24789.591919999995,24789.591919999995,1.464795605054091,19.469855891068942,65.88595859136223,1.4605382660050812,-12.732293479055137,35,0.5227021040974529,0.26135105204872644
"{'boll_length': 460, 'boll_dev': 1.8000000000000003, 'bias': 0.21999999999999997}",24777.069480000002,24777.069480000002,1.3099387447793969,10.543439372657692,65.85267635880402,1.632085233626937,-23.49998762666991,11,0.6733111849390919,0.33665559246954596
"{'boll_length': 505, 'boll_dev': 2.700000000000001, 'bias': 0.21999999999999997}",24745.342739999996,24745.342739999996,1.4018299159226635,17.950266284252468,65.76835279734219,1.389027452240649,-13.785501756989957,15,0.43853820598006643,0.21926910299003322
"{'boll_length': 505, 'boll_dev': 1.7000000000000002, 'bias': 0.21999999999999997}",24650.61064,24650.61064,1.2846976566888102,14.417874964575816,65.51657312956806,1.449842273175961,-17.09725649623514,11,0.6600221483942414,0.3300110741971207
"{'boll_length': 475, 'boll_dev': 1.8000000000000003, 'bias': 0.25999999999999995}",24645.189100000003,24645.189100000003,1.2704014289683572,11.245525318791978,65.50216372093018,1.6777479947083211,-21.91555165396882,11,0.5470653377630121,0.27353266888150607
"{'boll_length': 550, 'boll_dev': 2.9000000000000012, 'bias': 0.19999999999999998}",24641.94408,24641.94408,1.5483783122383903,20.421908897266242,65.49353908305653,1.3301690976256744,-12.066425427692849,9,0.3920265780730897,0.19601328903654486
"{'boll_length': 475, 'boll_dev': 1.8000000000000003, 'bias': 0.23999999999999996}",24629.688639999993,24629.688639999993,1.3678579141224327,17.437347785289802,65.46096648504974,1.5576513345917187,-14.124675921631638,48,0.5980066445182725,0.29900332225913623
"{'boll_length': 475, 'boll_dev': 1.8000000000000003, 'bias': 0.3}",24614.037320000003,24614.037320000003,1.23656207140787,10.802473442065011,65.41936829235873,1.722412638500222,-22.785556893065344,12,0.4850498338870432,0.2425249169435216
"{'boll_length': 520, 'boll_dev': 1.9000000000000004, 'bias': 0.21999999999999997}",24557.28588,24557.28588,1.2692372569241175,17.194635562713195,65.26853390033234,1.4638571857159781,-14.281946128159213,77,0.6046511627906976,0.3023255813953488
