"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 280, 'boll_dev': 2.700000000000001, 'bias': 0.25}",13.687270999999997,13.687270999999997,0.833663155567594,1.7888082473297273,0.0449992471232884,0.0034818653566546006,-0.07651614431246122,12,0.38082191780821917,0.00038082191780821923
"{'boll_length': 300, 'boll_dev': 2.700000000000001, 'bias': 0.25}",13.672870399999992,13.672870399999992,0.8369232561970442,1.6694759670161612,0.0449519026849278,0.003464655741945379,-0.08189917477180737,11,0.3972602739726027,0.00039726027397260277
"{'boll_length': 280, 'boll_dev': 2.800000000000001, 'bias': 0.25}",13.376252600000003,13.376252600000003,0.8186960011918584,1.7538444686460959,0.04397672087670968,0.0034650080921548123,-0.07626818021283936,12,0.3643835616438356,0.00036438356164383563
"{'boll_length': 300, 'boll_dev': 2.800000000000001, 'bias': 0.25}",13.316808599999995,13.316808599999995,0.8178156825777783,1.616912724954985,0.04378128854794943,0.003453333117809834,-0.08235947676379395,12,0.3726027397260274,0.00037260273972602743
"{'boll_length': 300, 'boll_dev': 2.600000000000001, 'bias': 0.22}",13.310742799999993,13.310742799999993,0.8292675904815853,1.604196062193295,0.04376134619178483,0.003404093505307948,-0.08297453854737964,12,0.5287671232876713,0.0005287671232876713
"{'boll_length': 240, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",13.253246399999998,13.253246399999998,0.8145435111514137,1.7391610621618063,0.043572316931507316,0.0034506674954357342,-0.07620482477641337,12,0.4328767123287671,0.0004328767123287672
"{'boll_length': 280, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",13.136178999999998,13.136178999999998,0.8057374021804702,1.7162724698033334,0.04318743780821762,0.0034575876792675444,-0.07653900666194799,12,0.3506849315068493,0.00035068493150684934
"{'boll_length': 220, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",13.099091799999993,13.099091799999993,0.7957036257836028,1.72963603449092,0.04306550728766983,0.003491309268985475,-0.07573322675284688,3,0.4547945205479452,0.0004547945205479453
"{'boll_length': 300, 'boll_dev': 2.600000000000001, 'bias': 0.25}",12.91552099999999,12.91552099999999,0.7859698444740598,1.5759079163416863,0.04246198684931812,0.0034850458874191546,-0.08195606396840133,12,0.42191780821917807,0.00042191780821917817
"{'boll_length': 300, 'boll_dev': 2.500000000000001, 'bias': 0.22}",12.835631199999995,12.835631199999995,0.7959136288280039,1.5469589728078172,0.04219933545205106,0.00342023129395797,-0.08297331361478498,12,0.5671232876712329,0.000567123287671233
"{'boll_length': 300, 'boll_dev': 2.800000000000001, 'bias': 0.22}",12.813464599999993,12.813464599999993,0.8044330840265694,1.5556465588420476,0.04212645895890043,0.0033781685789716974,-0.08236745375849794,12,0.46301369863013697,0.0004630136986301371
"{'boll_length': 300, 'boll_dev': 2.700000000000001, 'bias': 0.22}",12.746382599999993,12.746382599999993,0.7981467227622523,1.5361411936993834,0.04190591539725898,0.0033869621159455907,-0.08297663425914234,12,0.4986301369863014,0.0004986301369863014
"{'boll_length': 560, 'boll_dev': 2.500000000000001, 'bias': 0.28}",12.729664600000003,12.729664600000003,0.7979017535472753,1.494350985880719,0.04185095210958802,0.0033835611333434073,-0.08518523907887186,23,0.4520547945205479,0.00045205479452054806
"{'boll_length': 280, 'boll_dev': 2.600000000000001, 'bias': 0.25}",12.717274799999998,12.717274799999998,0.7716963653871153,1.679421381239216,0.04181021852054926,0.0034950577478668836,-0.07572414488742868,2,0.4136986301369863,0.00041369863013698637
"{'boll_length': 300, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",12.601308399999997,12.601308399999997,0.7776159706350203,1.5386031112302483,0.04142895912328716,0.003436843363388439,-0.08190096788458975,12,0.3589041095890411,0.00035890410958904113
"{'boll_length': 360, 'boll_dev': 2.600000000000001, 'bias': 0.28}",12.3996994,12.3996994,0.7617002611138488,1.5922852552740787,0.04076613501370143,0.003452555718666822,-0.07787360561764733,26,0.336986301369863,0.0003369863013698631
"{'boll_length': 300, 'boll_dev': 2.500000000000001, 'bias': 0.25}",12.348847799999993,12.348847799999993,0.7485697388880193,1.506772947189301,0.04059895167122925,0.0034987178286384423,-0.0819555980417232,12,0.4520547945205479,0.00045205479452054806
"{'boll_length': 260, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",12.25568599999999,12.25568599999999,0.7641820278451944,1.6047821444682329,0.04029266630137,0.00340139895153073,-0.07636978042313113,12,0.4383561643835616,0.0004383561643835617
"{'boll_length': 360, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",12.235541999999999,12.235541999999999,0.7627950158595311,1.5532578033466304,0.04022643945205768,0.0034019863765563313,-0.07877341400531403,26,0.2821917808219178,0.0002821917808219178
"{'boll_length': 320, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",12.137104999999995,12.137104999999995,0.7565543131772251,1.5862035861641521,0.039902810958906604,0.003402470257883132,-0.0765166912108136,33,0.3643835616438356,0.00036438356164383563
"{'boll_length': 280, 'boll_dev': 2.500000000000001, 'bias': 0.25}",12.1296676,12.1296676,0.7309661683862518,1.6006209429756095,0.039878359232878184,0.0035194202152500167,-0.07578101269530423,3,0.4383561643835616,0.0004383561643835617
"{'boll_length': 220, 'boll_dev': 2.800000000000001, 'bias': 0.22}",12.111382999999995,12.111382999999995,0.7339692329252624,1.599229497163148,0.039818245479451064,0.0034997399970178203,-0.07573261387114182,3,0.4794520547945205,0.0004794520547945206
"{'boll_length': 560, 'boll_dev': 2.400000000000001, 'bias': 0.28}",12.049908400000001,12.049908400000001,0.7525777621300764,1.4242316504853425,0.03961613720548047,0.00339588985763036,-0.08460637983922069,23,0.4849315068493151,0.0004849315068493152
"{'boll_length': 360, 'boll_dev': 2.700000000000001, 'bias': 0.28}",12.034077399999997,12.034077399999997,0.7418516056638301,1.539407860075579,0.03956409008219346,0.0034404665076431316,-0.07817341792323759,26,0.32054794520547947,0.0003205479452054795
"{'boll_length': 300, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",11.9561614,11.9561614,0.7546887335643565,1.4596767386367877,0.039307927890409856,0.003360061045273345,-0.08190965220947269,12,0.4438356164383562,0.00044383561643835626
"{'boll_length': 260, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",11.900712999999993,11.900712999999993,0.7266523720768507,1.558512087714827,0.03912563178081957,0.003473527601832352,-0.07635945267161028,12,0.3561643835616438,0.00035616438356164383
"{'boll_length': 260, 'boll_dev': 2.700000000000001, 'bias': 0.22}",11.809378599999992,11.809378599999992,0.7287850325948662,1.5578426137968393,0.038825354301371975,0.003436798346003696,-0.0758059799841932,12,0.4794520547945205,0.00047945205479452065
"{'boll_length': 260, 'boll_dev': 2.800000000000001, 'bias': 0.22}",11.80584979999999,11.80584979999999,0.7301463555824139,1.551419967080159,0.0388137527671218,0.0034293661576934383,-0.07609705979367197,12,0.4575342465753425,0.00045753424657534256
"{'boll_length': 360, 'boll_dev': 2.800000000000001, 'bias': 0.28}",11.800510199999998,11.800510199999998,0.7312064053735309,1.5037625749650583,0.038796197917806946,0.003422846625617133,-0.07847322706693784,26,0.3013698630136986,0.00030136986301369865
"{'boll_length': 360, 'boll_dev': 2.500000000000001, 'bias': 0.28}",11.787287599999997,11.787287599999997,0.7162138729896244,1.5195091859732646,0.03875272635616521,0.0034905838882337767,-0.07757299336397461,26,0.3643835616438356,0.00036438356164383563
"{'boll_length': 280, 'boll_dev': 2.700000000000001, 'bias': 0.22}",11.770424199999994,11.770424199999994,0.7327610088888283,1.538085126614003,0.03869728504109394,0.0034068817311068045,-0.07652648085812552,12,0.4821917808219178,0.00048219178082191784
