"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 480, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1948.6144599999998,1948.6144599999998,1.8406549525297635,26.268389595250696,5.1790417541528235,0.16593547744175027,-0.741809638894768,7,0.3211517165005537,0.016057585825027684
"{'boll_length': 520, 'boll_dev': 2.600000000000001, 'bias': 0.3400000000000001}",1944.6128600000006,1944.6128600000006,1.7615728710553984,23.831772568526553,5.168406272425241,0.17305858245861075,-0.8159749151719209,7,0.33222591362126247,0.016611295681063124
"{'boll_length': 480, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1942.05372,1942.05372,1.769353378600849,19.52614237925428,5.161604571428574,0.17208981453360594,-0.9945916004706351,8,0.3344407530454042,0.01672203765227021
"{'boll_length': 500, 'boll_dev': 2.600000000000001, 'bias': 0.3400000000000001}",1933.7360999999999,1933.7360999999999,1.7544734117687344,25.00152306389729,5.139497940199332,0.17286802917661778,-0.7734473196124412,20,0.34551495016611294,0.01727574750830565
"{'boll_length': 500, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1915.4615800000006,1915.4615800000006,1.814817197864998,23.977559014588145,5.0909277873754135,0.1656713316796301,-0.7988559547844786,7,0.31007751937984496,0.015503875968992248
"{'boll_length': 500, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1915.2827000000002,1915.2827000000002,1.7699899624079534,24.582997631746537,5.090452358803988,0.16985261650534209,-0.779108686699217,7,0.32558139534883723,0.01627906976744186
"{'boll_length': 480, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1890.4983000000002,1890.4983000000002,1.834236668126306,24.91849745107482,5.024580199335545,0.16195574090798046,-0.7586726702570323,7,0.301218161683278,0.0150609080841639
"{'boll_length': 520, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1886.696400000001,1886.696400000001,1.7411723395972587,22.470334960158624,5.014475481727571,0.1702970528765072,-0.8396387518678449,7,0.3233665559246955,0.016168327796234776
"{'boll_length': 520, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1879.1838600000005,1879.1838600000005,1.8360576567684028,21.89729869294726,4.994508598006639,0.1609055625187533,-0.85818067623348,9,0.292358803986711,0.01461794019933555
"{'boll_length': 460, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1878.68448,1878.68448,1.7664789635726412,24.611739969802215,4.993181342192688,0.1672025388031447,-0.7633285912759855,11,0.30564784053156147,0.015282392026578074
"{'boll_length': 460, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1870.97532,1870.97532,1.717231488030973,17.852645698658954,4.972691880398662,0.1713490547379592,-1.0480101109834603,15,0.32558139534883723,0.01627906976744186
"{'boll_length': 400, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1864.2768600000002,1864.2768600000002,1.6756116459568258,13.692560856786672,4.954888664451828,0.17502722092104472,-1.3615253417522535,15,0.3521594684385382,0.01760797342192691
"{'boll_length': 540, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1862.46902,1862.46902,1.7663378131184964,20.224830653540174,4.950083774086377,0.1658891119107839,-0.9208823806265053,9,0.3034330011074197,0.015171650055370986
"{'boll_length': 520, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1856.13222,1856.13222,1.7686102707148228,21.568483277475515,4.933241780730896,0.16515764533982533,-0.8605761453511211,7,0.3078626799557032,0.015393133997785163
"{'boll_length': 380, 'boll_dev': 2.800000000000001, 'bias': 0.28}",1855.9933599999997,1855.9933599999997,1.8050189369885998,17.04708174498975,4.932872717607976,0.1618151524055379,-1.0887455036375888,15,0.44518272425249167,0.022259136212624583
"{'boll_length': 440, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1840.8632400000006,1840.8632400000006,1.7144938995440249,18.608661845160295,4.892659774086382,0.1690811676127185,-0.9892507345866836,15,0.3211517165005537,0.016057585825027688
"{'boll_length': 580, 'boll_dev': 2.600000000000001, 'bias': 0.3400000000000001}",1839.128700000001,1839.128700000001,1.7131441782561638,18.667631061642197,4.888049700996668,0.16906767126034483,-0.9851966186427341,9,0.33554817275747506,0.016777408637873754
"{'boll_length': 360, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",1833.7220800000002,1833.7220800000002,1.718910006180674,17.422293433853188,4.873679946843848,0.16804465845709432,-1.0525147489692142,14,0.4230343300110742,0.02115171650055371
"{'boll_length': 360, 'boll_dev': 2.600000000000001, 'bias': 0.28}",1830.9372400000007,1830.9372400000007,1.740674010939824,17.021163016206103,4.8662783787375385,0.1657115923216207,-1.0756828063139612,12,0.5116279069767442,0.025581395348837205
"{'boll_length': 580, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1827.7039800000007,1827.7039800000007,1.7711828517268393,17.364869674542422,4.8576849966777385,0.16259244032633682,-1.0525296269165123,9,0.2978959025470653,0.014894795127353271
"{'boll_length': 440, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1825.8766999999998,1825.8766999999998,1.7239136792912917,19.450019554997855,4.8528284385382054,0.16689691504366075,-0.9387531435827398,15,0.3388704318936877,0.016943521594684385
"{'boll_length': 500, 'boll_dev': 2.9000000000000012, 'bias': 0.3700000000000001}",1823.8458799999999,1823.8458799999999,1.778924711252395,22.199742206460183,4.847430910299001,0.16157020699679464,-0.8215617384373297,7,0.2702104097452935,0.013510520487264675
"{'boll_length': 500, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1820.1186200000002,1820.1186200000002,1.7596655252635538,22.220182771781506,4.837524571428564,0.16303117232413605,-0.8191285547441378,7,0.2967884828349945,0.014839424141749723
"{'boll_length': 540, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1819.4062600000002,1819.4062600000002,1.7818241579456724,19.065451651867075,4.835631255813954,0.16094569996386476,-0.954294864460673,9,0.292358803986711,0.014617940199335547
"{'boll_length': 360, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1811.65686,1811.65686,1.92275155072531,17.13481791632418,4.815034843853819,0.14856403496003895,-1.0572956589600235,14,0.4008859357696567,0.020044296788482838
"{'boll_length': 580, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1809.8259000000003,1809.8259000000003,1.7083131577208341,17.694095280676592,4.8101685049833804,0.16705705585949218,-1.0228417284360822,9,0.3133997785160576,0.015669988925802878
"{'boll_length': 600, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1803.41116,1803.41116,1.7137207362052267,17.11732623020193,4.793119362126244,0.1659859984787672,-1.0535589120326796,9,0.31118493909191586,0.015559246954595792
"{'boll_length': 580, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1798.0468,1798.0468,1.7742640534067335,14.607922316741831,4.778861926910292,0.15988249801435636,-1.2308710034275674,9,0.28460686600221485,0.014230343300110743
"{'boll_length': 360, 'boll_dev': 2.500000000000001, 'bias': 0.28}",1795.4560400000003,1795.4560400000003,1.6842213577647354,16.146135103964294,4.7719761860465075,0.16820650813714497,-1.1120036023724138,17,0.5426356589147286,0.027131782945736434
"{'boll_length': 560, 'boll_dev': 2.600000000000001, 'bias': 0.3400000000000001}",1790.4241000000004,1790.4241000000004,1.727307967821748,19.58959674697156,4.758602259136209,0.16358690216548102,-0.9139667973394032,9,0.3377630121816168,0.016888150609080842
"{'boll_length': 600, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1789.9965200000001,1789.9965200000001,1.7589961297649186,16.47273228796473,4.75746583388704,0.1606045272626154,-1.0866421481928665,9,0.3023255813953488,0.015116279069767443
