"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBias_V1_Strategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-14 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 560, 'boll_dev': 1.6, 'bias': 0.19000000000000003}",25807.160699999997,25807.160699999997,1.4166009737567407,15.563494303381729,68.66650297117519,1.5465123499034024,-16.5818550750473,48,0.5676274944567627,0.2838137472283814
"{'boll_length': 560, 'boll_dev': 2.2000000000000006, 'bias': 0.19000000000000003}",25618.703739999997,25618.703739999997,1.5342101942444322,25.882838102839468,68.16506538359201,1.4220525978033065,-9.897950000000002,49,0.4190687361419069,0.20953436807095344
"{'boll_length': 560, 'boll_dev': 1.7000000000000002, 'bias': 0.15}",25385.234280000008,25385.234280000008,1.4944458070303022,16.685100220870765,67.54386061197337,1.4523328907693516,-15.214313335826748,49,0.6430155210643016,0.3215077605321508
"{'boll_length': 560, 'boll_dev': 1.7000000000000002, 'bias': 0.16}",25222.845519999995,25222.845519999995,1.4676902425459493,16.813674476032748,67.11178408869176,1.4734258345440778,-15.001388040403777,49,0.6075388026607539,0.30376940133037694
"{'boll_length': 560, 'boll_dev': 1.6, 'bias': 0.18000000000000002}",25174.146859999993,25174.146859999993,1.3735088794119692,12.596069938706838,66.98220894013305,1.5727284353719542,-19.985715371936465,48,0.565410199556541,0.2827050997782705
"{'boll_length': 560, 'boll_dev': 1.4, 'bias': 0.16}",25171.558819999995,25171.558819999995,1.4084495620797677,14.688355075518063,66.97532280266081,1.5336226114607592,-17.13708491562471,48,0.7250554323725056,0.3625277161862528
"{'boll_length': 560, 'boll_dev': 1.7000000000000002, 'bias': 0.19000000000000003}",25154.432719999997,25154.432719999997,1.3831053464995586,13.891006327558273,66.92975446563187,1.5611201199458364,-18.108430826999392,49,0.5388026607538803,0.26940133037694014
"{'boll_length': 560, 'boll_dev': 2.2000000000000006, 'bias': 0.18000000000000002}",25093.410159999992,25093.410159999992,1.5254907181613484,25.352128632696665,66.76738845232815,1.413453154831318,-9.897950000000002,49,0.42572062084257206,0.21286031042128603
"{'boll_length': 580, 'boll_dev': 1.9000000000000004, 'bias': 0.17}",25077.334099999996,25077.334099999996,1.5892325855280505,24.319158414522082,66.7246140133037,1.3562663690290166,-10.311760659046962,61,0.5121951219512195,0.25609756097560976
"{'boll_length': 560, 'boll_dev': 1.6, 'bias': 0.16}",24958.099819999996,24958.099819999996,1.417435031614514,16.54596604698726,66.40736094013305,1.5165242759352837,-15.084099501427692,48,0.6452328159645233,0.32261640798226165
"{'boll_length': 560, 'boll_dev': 1.6, 'bias': 0.15}",24875.204320000004,24875.204320000004,1.474130438134657,17.637288328064045,66.18679641685145,1.455432331477136,-14.103757821104027,48,0.6851441241685144,0.3425720620842572
"{'boll_length': 580, 'boll_dev': 1.4, 'bias': 0.16}",24847.871219999994,24847.871219999994,1.4184216976967405,14.285315094297072,66.11406976496666,1.5116452992327631,-17.39399590137122,46,0.6962305986696231,0.34811529933481156
