"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBias_V1_Strategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-14 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 620, 'boll_dev': 2.3000000000000007, 'bias': 0.18000000000000002}",1882.2919,1882.2919,2.0340287880380568,18.955494968792923,5.0083154767184075,0.14562661437604466,-0.9930059347428716,10,0.35920177383592017,0.017960088691796012
"{'boll_length': 640, 'boll_dev': 2.2000000000000006, 'bias': 0.18000000000000002}",1871.9029599999997,1871.9029599999997,2.0410954908214056,22.656477192865406,4.980673064301559,0.14438639232623324,-0.8262109524200305,7,0.38137472283813745,0.019068736141906874
"{'boll_length': 640, 'boll_dev': 2.3000000000000007, 'bias': 0.18000000000000002}",1807.26764,1807.26764,1.9979465454128438,21.25327019127816,4.808694385809315,0.14281166333556602,-0.8503480282021075,7,0.3614190687361419,0.018070953436807095
"{'boll_length': 620, 'boll_dev': 2.2000000000000006, 'bias': 0.18000000000000002}",1806.90382,1806.90382,1.9281817707115654,18.432409033431917,4.807726350332596,0.14795137622617194,-0.9802863080581142,10,0.401330376940133,0.020066518847006654
"{'boll_length': 620, 'boll_dev': 2.2000000000000006, 'bias': 0.17}",1804.19192,1804.19192,2.1461819452016444,18.227826677234795,4.800510651884701,0.13273926344074505,-0.9898008972475595,10,0.41019955654101997,0.020509977827051
"{'boll_length': 700, 'boll_dev': 2.3000000000000007, 'bias': 0.18000000000000002}",1798.0325200000002,1798.0325200000002,2.1079024703116396,19.28557294916826,4.784122004434581,0.1347245370094255,-0.9323199910830452,7,0.33813747228381374,0.016906873614190687
"{'boll_length': 620, 'boll_dev': 2.3000000000000007, 'bias': 0.17}",1796.78678,1796.78678,2.1839749682966945,17.915372303655033,4.780807396895791,0.12994875362242292,-1.0029301928787866,10,0.3858093126385809,0.019290465631929044
"{'boll_length': 660, 'boll_dev': 2.3000000000000007, 'bias': 0.18000000000000002}",1766.7813199999998,1766.7813199999998,2.0830913305307037,21.29669439136715,4.700970252771623,0.1341423309554719,-0.8296035466969868,8,0.35365853658536583,0.017682926829268295
"{'boll_length': 640, 'boll_dev': 2.2000000000000006, 'bias': 0.17}",1760.59598,1760.59598,2.146294116635015,20.595571743960505,4.6845125853658525,0.12977143217423226,-0.8548420028767983,7,0.3991130820399113,0.019955654101995565
"{'boll_length': 640, 'boll_dev': 2.400000000000001, 'bias': 0.18000000000000002}",1757.1901400000002,1757.1901400000002,2.1056630350214003,20.06811323908361,4.675450483370294,0.1320392665980791,-0.8756130280238755,7,0.3392461197339246,0.016962305986696232
"{'boll_length': 620, 'boll_dev': 2.1000000000000005, 'bias': 0.17}",1747.6744400000002,1747.6744400000002,1.983467469491217,10.633392710209584,4.6501315476718466,0.1394727039950679,-1.6435718002984916,4,0.4523281596452328,0.022616407982261638
"{'boll_length': 660, 'boll_dev': 2.2000000000000006, 'bias': 0.18000000000000002}",1745.0462799999996,1745.0462799999996,1.9066325222048157,14.617181236151053,4.6431386607538805,0.1448917335826278,-1.1938322798407743,30,0.37583148558758317,0.018791574279379157
