"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVixV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-17 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 45, 'boll_length': 160}",16.9482778,16.9482778,1.6779152690695431,10.599618151276923,0.053875320158939234,0.0020708395436793547,-0.015989517318562928,7,0.26887417218543047,0.00026887417218543047
"{'open_window': 60, 'boll_length': 120}",16.5543354,16.5543354,1.6438060817073468,10.544083388590828,0.052623052927154995,0.0020647173689714426,-0.01570011805664718,7,0.27947019867549666,0.0002794701986754967
"{'open_window': 45, 'boll_length': 170}",16.488590600000006,16.488590600000006,1.5967366362212914,9.485979956810674,0.05241406283443379,0.0021171474932479943,-0.017382063503265793,7,0.27417218543046357,0.0002741721854304636
"{'open_window': 15, 'boll_length': 480}",16.2872536,16.2872536,1.6110737178895371,10.263374689020308,0.051774051178808816,0.0020727058898054717,-0.015869296497013085,7,0.27947019867549666,0.0002794701986754967
"{'open_window': 15, 'boll_length': 490}",16.2461724,16.2461724,1.5939209001436048,9.822046967011856,0.051643461933777064,0.002089731161641939,-0.016540515897108612,7,0.2768211920529801,0.00027682119205298014
"{'open_window': 15, 'boll_length': 470}",16.205047,16.205047,1.6175230219013443,10.711993026157302,0.0515127321854295,0.0020540302859211935,-0.015127947675497048,7,0.2847682119205298,0.0002847682119205298
"{'open_window': 30, 'boll_length': 240}",15.995701599999997,15.995701599999997,1.5900524485462466,10.136963408338707,0.050847263364238664,0.002062544854907354,-0.01577957910634456,7,0.28211920529801326,0.0002821192052980133
"{'open_window': 15, 'boll_length': 460}",15.880664200000002,15.880664200000002,1.5911973719429864,11.108135981786651,0.050481581562916746,0.0020462498600659906,-0.014296425814411593,7,0.2900662251655629,0.00029006622516556296
"{'open_window': 30, 'boll_length': 230}",15.801507200000003,15.801507200000003,1.585024079179917,10.544201575526614,0.050229956662250094,0.0020439883618394135,-0.0149859684366005,48,0.2980132450331126,0.0002980132450331126
"{'open_window': 45, 'boll_length': 150}",15.723445199999999,15.723445199999999,1.5742357022220874,7.273040461792154,0.0499818125562911,0.0020478371449606392,-0.0216188061686178,48,0.2980132450331126,0.00029801324503311264
"{'open_window': 60, 'boll_length': 130}",15.682298199999996,15.682298199999996,1.5230345350407382,8.763937228320948,0.04985101414569325,0.0021111462071343777,-0.017894124286195794,7,0.271523178807947,0.00027152317880794704
"{'open_window': 15, 'boll_length': 500}",15.666101999999997,15.666101999999997,1.5323950667197122,9.117909245152768,0.049799529536418065,0.0020960850993272545,-0.01718168231201308,7,0.27947019867549666,0.0002794701986754967
"{'open_window': 15, 'boll_length': 450}",15.514432200000002,15.514432200000002,1.5524622562829173,9.317108277686323,0.04931740037085752,0.002048975807533337,-0.016651552968590767,48,0.2980132450331126,0.0002980132450331126
"{'open_window': 30, 'boll_length': 250}",15.333941,15.333941,1.5056847934226623,8.939993585356007,0.04874365350993295,0.0020880727853253294,-0.017152071591099598,7,0.28211920529801326,0.0002821192052980133
"{'open_window': 15, 'boll_length': 520}",15.311260999999998,15.311260999999998,1.477913499721194,8.471746890651008,0.048671558145700726,0.0021241654705014277,-0.018073322064069714,7,0.2768211920529801,0.00027682119205298014
"{'open_window': 30, 'boll_length': 260}",15.2223746,15.2223746,1.477194178083347,8.459871897579653,0.04838900535099048,0.002112871800188812,-0.01799362305279607,7,0.27417218543046357,0.0002741721854304636
"{'open_window': 15, 'boll_length': 510}",15.171332199999995,15.171332199999995,1.4631026456407372,8.743272821430919,0.048226751364235584,0.0021260739114462757,-0.017352005947718074,7,0.2847682119205298,0.0002847682119205298
"{'open_window': 15, 'boll_length': 530}",15.036829999999998,15.036829999999998,1.4464037534887342,8.039137536273158,0.047799194701984286,0.0021315675624690024,-0.018704531340771297,7,0.271523178807947,0.00027152317880794704
"{'open_window': 30, 'boll_length': 270}",14.953323999999999,14.953323999999999,1.4403722572191455,7.773639490618916,0.047533745165562705,0.002128615202802245,-0.01923593706402944,7,0.2662251655629139,0.00026622516556291394
"{'open_window': 45, 'boll_length': 180}",14.9391128,14.9391128,1.4346072751211274,7.6705520279557815,0.04748857049006919,0.002135139474469521,-0.01947592917113977,7,0.2635761589403974,0.00026357615894039737
"{'open_window': 60, 'boll_length': 150}",14.8264386,14.8264386,1.4441990998120156,8.779941000410533,0.04713040084768103,0.002104973774282052,-0.01688671780289458,123,0.2423841059602649,0.0002423841059602649
"{'open_window': 45, 'boll_length': 200}",14.716816400000003,14.716816400000003,1.429430018148666,9.491839571704848,0.04678193292715232,0.002111009886212657,-0.01550470410801168,9,0.247682119205298,0.000247682119205298
"{'open_window': 15, 'boll_length': 540}",14.5459562,14.5459562,1.388785881125487,7.522859621090527,0.04623880116556464,0.0021475831208227383,-0.019335674108846304,7,0.271523178807947,0.00027152317880794704
"{'open_window': 60, 'boll_length': 140}",14.3395002,14.3395002,1.369216840612611,6.996818194170572,0.04558251719205358,0.0021473817562102314,-0.0204943158476623,8,0.2662251655629139,0.00026622516556291394
"{'open_window': 15, 'boll_length': 440}",14.322194999999997,14.322194999999997,1.410544635297069,7.713473817227273,0.04552750728476992,0.002081951465778224,-0.018567762514489057,48,0.31125827814569534,0.00031125827814569535
"{'open_window': 30, 'boll_length': 280}",14.319973400000002,14.319973400000002,1.382799571609836,7.160952243776659,0.04552044524503635,0.0021233954149803493,-0.01999730330899221,8,0.2662251655629139,0.00026622516556291394
"{'open_window': 15, 'boll_length': 430}",14.212394399999999,14.212394399999999,1.4106101376082167,7.567412147958685,0.04517847226489888,0.002065905651913693,-0.018781049746092186,7,0.31920529801324504,0.000319205298013245
"{'open_window': 60, 'boll_length': 110}",14.156525999999994,14.156525999999994,1.4077699934365782,7.767435163042983,0.045000877350992854,0.002061941939859943,-0.01822548331958506,48,0.3271523178807947,0.0003271523178807947
"{'open_window': 15, 'boll_length': 650}",14.153873399999998,14.153873399999998,1.3770590720050995,7.131534081835158,0.044992445245033694,0.002107532297929994,-0.019846884607971987,29,0.2185430463576159,0.00021854304635761588
"{'open_window': 30, 'boll_length': 290}",14.077259799999997,14.077259799999997,1.376575854318447,8.448027779020636,0.04474890532450496,0.002096868244554314,-0.016663368265619587,72,0.2609271523178808,0.0002609271523178808
"{'open_window': 30, 'boll_length': 300}",14.069094000000002,14.069094000000002,1.3563523233835242,8.046819869188706,0.0447229478145692,0.002126899442027132,-0.017484042427581222,123,0.25298013245033113,0.0002529801324503311
"{'open_window': 15, 'boll_length': 600}",14.029490599999995,14.029490599999995,1.3536585831771815,9.041754282667812,0.04459705621192203,0.0021251371419313447,-0.015516336942371546,13,0.25298013245033113,0.0002529801324503311
"{'open_window': 15, 'boll_length': 570}",13.991574199999995,13.991574199999995,1.3286908010907825,6.796799490634524,0.04447652725827346,0.0021592238802600064,-0.020585533263527717,8,0.2635761589403974,0.00026357615894039737
"{'open_window': 45, 'boll_length': 190}",13.975401399999997,13.975401399999997,1.3546973942166238,6.782187301691679,0.04442511703311039,0.00211532629916566,-0.020606038698626664,8,0.2582781456953642,0.00025827814569536427
"{'open_window': 15, 'boll_length': 610}",13.888796199999998,13.888796199999998,1.3462289028328822,8.853955000945891,0.044149815735103036,0.0021154508871343014,-0.01568654482490298,13,0.2423841059602649,0.0002423841059602649
"{'open_window': 15, 'boll_length': 550}",13.834461400000004,13.834461400000004,1.3223556877361908,6.921780631199393,0.043977095841058536,0.0021452227754174863,-0.019986853292694506,7,0.27417218543046357,0.0002741721854304636
"{'open_window': 15, 'boll_length': 560}",13.696686000000001,13.696686000000001,1.3122180041397646,6.811878928893197,0.043539134304635276,0.0021402816424155122,-0.02010706024428021,8,0.26887417218543047,0.00026887417218543047
"{'open_window': 15, 'boll_length': 590}",13.681678999999999,13.681678999999999,1.3256214103989226,7.819396443383596,0.0434914299337729,0.002116321438949825,-0.017497103643563414,123,0.2556291390728477,0.0002556291390728477
"{'open_window': 60, 'boll_length': 160}",13.477783800000005,13.477783800000005,1.3443507743496121,7.475087870741672,0.04284328625165555,0.0020557582930384164,-0.018030268049093478,42,0.23178807947019867,0.00023178807947019865
"{'open_window': 30, 'boll_length': 220}",13.356793799999998,13.356793799999998,1.3268247578249812,6.467000732902928,0.042458682278142486,0.00206422696175141,-0.020653768805131013,8,0.32980132450331123,0.0003298013245033113
"{'open_window': 15, 'boll_length': 920}",13.277329800000004,13.277329800000004,1.4491908178507964,7.565545392663707,0.04220608148344005,0.0018786924253893257,-0.017549732518786876,49,0.13642384105960265,0.00013642384105960265
"{'open_window': 30, 'boll_length': 310}",13.201431600000003,13.201431600000003,1.267240003797711,6.477932927836426,0.04196481568212126,0.0021361626488188012,-0.020379080405838364,17,0.23973509933774834,0.00023973509933774835
"{'open_window': 30, 'boll_length': 450}",13.156450600000001,13.156450600000001,1.4849168904968062,7.102701507217557,0.041821829721855476,0.0018168109098810929,-0.01852316416032853,29,0.13642384105960265,0.00013642384105960265
"{'open_window': 15, 'boll_length': 900}",13.1297394,13.1297394,1.4762892449925822,7.099626830911527,0.041736919947018655,0.0018237208648661531,-0.018493562707878098,29,0.1390728476821192,0.0001390728476821192
"{'open_window': 15, 'boll_length': 910}",13.113147800000002,13.113147800000002,1.4788229741049659,7.052844086366332,0.04168417843709016,0.001818297089784036,-0.018592709039676577,29,0.1337748344370861,0.0001337748344370861
"{'open_window': 30, 'boll_length': 200}",13.053793400000004,13.053793400000004,1.4315227087917752,6.599157976241242,0.04149550219867448,0.0019951817775040416,-0.019780998495560913,48,0.3443708609271523,0.0003443708609271523
"{'open_window': 30, 'boll_length': 460}",13.043829200000005,13.043829200000005,1.4511217585050094,7.384213696035626,0.0414638279205267,0.001843218536100315,-0.01766447957350135,49,0.1337748344370861,0.0001337748344370861
"{'open_window': 15, 'boll_length': 670}",12.9287348,12.9287348,1.3687123183649268,5.697544010899891,0.04109796492715093,0.0019369656883013251,-0.022691768199185093,29,0.2052980132450331,0.00020529801324503316
"{'open_window': 15, 'boll_length': 390}",12.923611799999996,12.923611799999996,1.4060743457654146,6.9207353551849335,0.04108167989403907,0.002015086716905809,-0.01867375522503916,48,0.35496688741721855,0.00035496688741721856
"{'open_window': 15, 'boll_length': 930}",12.9225604,12.9225604,1.4104459263389735,7.288529319010964,0.041078337695362316,0.0018787558256995807,-0.017729997142623768,49,0.1390728476821192,0.0001390728476821192
"{'open_window': 15, 'boll_length': 620}",12.902203199999997,12.902203199999997,1.2468686674608631,6.352930009933514,0.041013626066226286,0.0021218848776802237,-0.020309059252701222,17,0.23973509933774834,0.00023973509933774835
"{'open_window': 45, 'boll_length': 130}",12.8840282,12.8840282,1.4297524899901093,6.747716876769221,0.0409558512317874,0.0019792075519891837,-0.019093907517602614,48,0.34701986754966885,0.0003470198675496689
"{'open_window': 45, 'boll_length': 210}",12.776353399999998,12.776353399999998,1.272266139036606,6.180020953371051,0.0406135737218587,0.002059255948469999,-0.020673640908987847,13,0.23443708609271524,0.00023443708609271522
"{'open_window': 30, 'boll_length': 470}",12.776103799999998,12.776103799999998,1.4079599769853697,6.188538411524983,0.040612780291393,0.0018607563477002441,-0.02064478387369728,49,0.1337748344370861,0.0001337748344370861
"{'open_window': 60, 'boll_length': 100}",12.766100199999995,12.766100199999995,1.3872356967351,6.180580990521802,0.04058098076821586,0.0020160830919175,-0.020655178242269822,48,0.34701986754966885,0.0003470198675496689
"{'open_window': 15, 'boll_length': 400}",12.718936000000003,12.718936000000003,1.3812335646603773,5.8219173207864605,0.040431054834437666,0.002018142868842308,-0.021846644840847772,48,0.352317880794702,0.000352317880794702
"{'open_window': 45, 'boll_length': 300}",12.6435986,12.6435986,1.4902700072688397,6.9786994225680195,0.04019157170860777,0.0017397626386792208,-0.018117413911125205,62,0.13642384105960265,0.00013642384105960265
"{'open_window': 30, 'boll_length': 320}",12.604994599999998,12.604994599999998,1.2338238953022846,5.960300635863943,0.04006885700662455,0.002094954456169495,-0.02114825303300083,32,0.23178807947019867,0.00023178807947019865
"{'open_window': 30, 'boll_length': 330}",12.5342706,12.5342706,1.3291135158470377,5.789526108178988,0.0398440389933768,0.0019338537413602476,-0.0216499077226586,29,0.21059602649006623,0.00021059602649006626
"{'open_window': 60, 'boll_length': 230}",12.532911200000001,12.532911200000001,1.4362201261660887,7.186225470684195,0.03983971772185606,0.0017894419600353677,-0.017440186438802765,49,0.1337748344370861,0.0001337748344370861
"{'open_window': 15, 'boll_length': 640}",12.506294199999997,12.506294199999997,1.2220858009264723,6.37503025415748,0.039755107390731445,0.0020985251701619305,-0.019617623291818806,32,0.2370860927152318,0.00023708609271523177
"{'open_window': 30, 'boll_length': 190}",12.442433000000005,12.442433000000005,1.3927305549911715,6.410753959284204,0.039552104900660585,0.001965796714944877,-0.01940868902319992,48,0.35496688741721855,0.00035496688741721856
"{'open_window': 45, 'boll_length': 120}",12.406122400000001,12.406122400000001,1.419765493683955,7.678564315422151,0.03943668047681924,0.0019281868208011887,-0.01615682553453656,29,0.36026490066225164,0.0003602649006622517
"{'open_window': 15, 'boll_length': 660}",12.38898,12.38898,1.3111310614092568,5.5497500654899365,0.039382188079469825,0.001937667390072624,-0.02232349178576238,29,0.21059602649006623,0.00021059602649006623
"{'open_window': 15, 'boll_length': 960}",12.325385999999998,12.325385999999998,1.3489520988851444,6.3355749771079655,0.03918003496688916,0.0018736788960015101,-0.01945425007917243,53,0.1337748344370861,0.0001337748344370861
"{'open_window': 15, 'boll_length': 940}",12.301267799999998,12.301267799999998,1.364705923467179,6.740987124731388,0.039103367841056294,0.0018484277678488179,-0.01824846654115088,49,0.13642384105960265,0.00013642384105960265
"{'open_window': 15, 'boll_length': 950}",12.281579599999997,12.281579599999997,1.3454443358915826,6.368759551259801,0.03904078283443632,0.00187189121938261,-0.019284099990194082,53,0.13642384105960265,0.00013642384105960265
"{'open_window': 60, 'boll_length': 240}",12.2605954,12.2605954,1.3956689683719996,6.480064215142469,0.038974078092714935,0.001801447907859956,-0.018920484416419244,53,0.12847682119205298,0.00012847682119205298
"{'open_window': 30, 'boll_length': 180}",12.251771400000003,12.251771400000003,1.4031233920250203,6.674566838199217,0.038946028291391786,0.0019249940009465863,-0.018355904880421922,29,0.36821192052980134,0.0003682119205298014
"{'open_window': 15, 'boll_length': 420}",12.1716112,12.1716112,1.3195413539888978,4.254056728154145,0.038691214410597044,0.0020385760126806042,-0.028611774543217335,48,0.3271523178807947,0.0003271523178807947
"{'open_window': 15, 'boll_length': 970}",12.146552,12.146552,1.3261908027868567,5.565560726929939,0.03861155602649264,0.0018782009055988078,-0.021824489204165166,53,0.13642384105960265,0.00013642384105960265
"{'open_window': 15, 'boll_length': 630}",12.136439399999999,12.136439399999999,1.1710398584432715,6.013455282661667,0.038579410013241784,0.002125273746182429,-0.020182139601156498,123,0.247682119205298,0.000247682119205298
"{'open_window': 30, 'boll_length': 480}",12.103773999999998,12.103773999999998,1.3428732112203126,5.550742828522729,0.03847557298012773,0.001848339596268378,-0.02180568326423403,53,0.13112582781456952,0.00013112582781456955
"{'open_window': 15, 'boll_length': 410}",12.045190599999998,12.045190599999998,1.3067020046055464,4.64092141725259,0.03828934760265141,0.00202492185926519,-0.02595430845957195,48,0.34172185430463575,0.0003417218543046358
"{'open_window': 45, 'boll_length': 320}",12.030009399999999,12.030009399999999,1.3504685670104766,6.35230126709307,0.038241089483441196,0.0018267497570488823,-0.018938033468781562,53,0.1337748344370861,0.0001337748344370861
"{'open_window': 30, 'boll_length': 210}",11.933386199999998,11.933386199999998,1.295117158306224,4.076802482847214,0.03793394288741847,0.002026940156199886,-0.02927143576420262,48,0.33774834437086093,0.00033774834437086095
"{'open_window': 15, 'boll_length': 380}",11.887801200000002,11.887801200000002,1.305988851901429,5.905280699180406,0.03778903692715617,0.0020091695850366384,-0.02013079784954358,48,0.36821192052980134,0.0003682119205298014
"{'open_window': 45, 'boll_length': 310}",11.860226400000002,11.860226400000002,1.3472416282047877,6.652395848505714,0.037701381933775036,0.0018052973334270216,-0.017828503700158118,49,0.1390728476821192,0.00013907284768211923
"{'open_window': 30, 'boll_length': 490}",11.8047212,11.8047212,1.3139998542563984,6.284613468117042,0.03752494156291207,0.001842310708300045,-0.01878352783331364,49,0.12847682119205298,0.00012847682119205298
"{'open_window': 60, 'boll_length': 250}",11.753359400000003,11.753359400000003,1.3230857392986126,7.129972838704556,0.037361672264899594,0.0018217031157162788,-0.016484437831512315,125,0.12847682119205298,0.00012847682119205298
"{'open_window': 15, 'boll_length': 990}",11.6841546,11.6841546,1.2741679286975185,6.094711912739672,0.03714168349668926,0.0018805102272308183,-0.01917097110952361,125,0.13112582781456952,0.00013112582781456955
"{'open_window': 60, 'boll_length': 90}",11.627367,11.627367,1.3385508223522211,7.318774230036853,0.036961166622516556,0.0019224069710960824,-0.015887041510694956,41,0.3708609271523179,0.0003708609271523179
"{'open_window': 15, 'boll_length': 370}",11.621045400000003,11.621045400000003,1.3142219558552464,5.99079982221943,0.036941071470194715,0.001956229533579271,-0.01939815340999571,7,0.36821192052980134,0.0003682119205298014
"{'open_window': 15, 'boll_length': 680}",11.616660599999996,11.616660599999996,1.2381804029489454,4.995433980012603,0.036927133033112916,0.001923994886895553,-0.023254557354736173,29,0.20264900662251656,0.00020264900662251659
"{'open_window': 45, 'boll_length': 330}",11.581353799999997,11.581353799999997,1.3072320294549455,6.447214576914138,0.03681489949669165,0.001816828581705792,-0.017963344731026707,49,0.13112582781456952,0.00013112582781456955
"{'open_window': 45, 'boll_length': 220}",11.5681122,11.5681122,1.2406815197922454,5.538735018078365,0.03677280699337742,0.0019120963422727846,-0.020885837943577006,28,0.21589403973509932,0.00021589403973509936
"{'open_window': 15, 'boll_length': 980}",11.5536292,11.5536292,1.2558332101480905,5.298676184156868,0.036726768317883,0.0018866631529728067,-0.021804746692289368,125,0.1337748344370861,0.0001337748344370861
"{'open_window': 15, 'boll_length': 580}",11.548925999999998,11.548925999999998,1.0981271898647251,5.2392415063360405,0.03671181774834477,0.002156735871843039,-0.022043125872387277,8,0.2635761589403974,0.00026357615894039737
"{'open_window': 45, 'boll_length': 140}",11.519377800000003,11.519377800000003,1.2729872033217253,4.073110186610789,0.03661788969536427,0.0019950390739637103,-0.028281527560601583,48,0.3271523178807947,0.0003271523178807947
