"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVixV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-17 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 15, 'boll_length': 380}",1259.0507000000005,1259.0507000000005,1.2872732052900484,8.184266467117135,3.357468533333344,0.15857337368869082,-1.5383794076825776,14,0.3333333333333333,0.016666666666666666
"{'open_window': 15, 'boll_length': 360}",1244.0248800000004,1244.0248800000004,1.3030806829227737,9.475902673064109,3.3173996800000083,0.15488566415639454,-1.3128299465719795,4,0.3488888888888889,0.017444444444444443
"{'open_window': 15, 'boll_length': 350}",1231.5842799999996,1231.5842799999996,1.2585338777472679,7.297116264575412,3.2842247466666663,0.15885385280192643,-1.6877684764032748,25,0.36666666666666664,0.018333333333333333
"{'open_window': 15, 'boll_length': 390}",1210.7952799999998,1210.7952799999998,1.2081855471992262,6.721735449163912,3.228787413333336,0.1628342027365716,-1.8013134988087143,4,0.3288888888888889,0.016444444444444446
"{'open_window': 15, 'boll_length': 370}",1203.23856,1203.23856,1.2554836069067865,8.705091639091231,3.2086361599999984,0.15577524507938395,-1.3822238867615317,14,0.34444444444444444,0.017222222222222222
"{'open_window': 15, 'boll_length': 400}",1201.3050799999999,1201.3050799999999,1.19594349849385,6.4938962993636,3.203480213333331,0.16328210394835954,-1.8498987735879409,14,0.31555555555555553,0.015777777777777776
"{'open_window': 30, 'boll_length': 650}",1200.9878800000001,1200.9878800000001,1.3784923408678973,5.555771831924555,3.2026343466666654,0.1416238737277893,-2.1616940297995817,9,0.08444444444444445,0.004222222222222222
"{'open_window': 30, 'boll_length': 640}",1196.6198200000001,1196.6198200000001,1.3768078888318025,5.531798172612373,3.190986186666667,0.14130949477267016,-2.163166085712235,9,0.08666666666666667,0.004333333333333334
"{'open_window': 60, 'boll_length': 90}",1185.4621599999994,1185.4621599999994,1.2378324621592458,8.049809564805496,3.1612324266666647,0.15578831660701825,-1.4726586392589314,4,0.34444444444444444,0.017222222222222222
"{'open_window': 45, 'boll_length': 130}",1183.59002,1183.59002,1.2449987955644983,8.942670605091159,3.15624005333334,0.15466015652373902,-1.3235308245907793,10,0.3288888888888889,0.016444444444444442
"{'open_window': 45, 'boll_length': 120}",1177.6747200000004,1177.6747200000004,1.2564779897521472,7.940088872704743,3.1404659199999982,0.152522379179926,-1.4832009299649456,25,0.3488888888888889,0.017444444444444443
"{'open_window': 15, 'boll_length': 340}",1163.3185199999998,1163.3185199999998,1.234038544774294,7.833446313774584,3.102182720000002,0.1535031329723477,-1.485066053180685,24,0.38222222222222224,0.01911111111111111
"{'open_window': 30, 'boll_length': 700}",1156.26776,1156.26776,1.3610420017874147,4.976203303754759,3.0833806933333285,0.13838018842092722,-2.323594293520011,10,0.08,0.004
"{'open_window': 45, 'boll_length': 460}",1154.81736,1154.81736,1.3414692814568714,5.039849027960687,3.07951296,0.1402323938332809,-2.29137292326251,10,0.08,0.004
"{'open_window': 45, 'boll_length': 470}",1154.1572,1154.1572,1.3559501467340676,4.958702589032363,3.07775253333333,0.13865965146185374,-2.3275386641513016,10,0.08,0.004
"{'open_window': 30, 'boll_length': 690}",1149.78566,1149.78566,1.337061281132613,5.020197854625286,3.0660950933333333,0.14011386215303145,-2.2903194122930075,10,0.08,0.004
"{'open_window': 60, 'boll_length': 340}",1149.66696,1149.66696,1.3293895947451546,5.093683107160496,3.065778559999994,0.14090865126163005,-2.2570445310660214,10,0.08222222222222222,0.004111111111111111
"{'open_window': 60, 'boll_length': 320}",1148.01784,1148.01784,1.3202876806505792,5.132987146535895,3.061380906666666,0.14168721074576388,-2.236549220223089,29,0.08666666666666667,0.004333333333333334
"{'open_window': 15, 'boll_length': 200}",1135.3588399999994,1135.3588399999994,1.1079658504750773,7.420837589966394,3.0276235733333285,0.16707386497615417,-1.5299605014063375,4,0.7133333333333334,0.035666666666666666
"{'open_window': 30, 'boll_length': 660}",1132.16146,1132.16146,1.289030534601668,3.9163830051195356,3.0190972266666627,0.14322221515102013,-2.8908343706936366,22,0.08444444444444445,0.004222222222222223
"{'open_window': 60, 'boll_length': 330}",1117.2576199999999,1117.2576199999999,1.2751101820858037,3.875201786125102,2.979353653333329,0.1429772423741849,-2.883095337126092,22,0.08666666666666667,0.004333333333333333
"{'open_window': 30, 'boll_length': 670}",1112.38688,1112.38688,1.2690100430413707,3.776342265631148,2.9663650133333284,0.1430701188614983,-2.9456728277093354,22,0.08444444444444445,0.004222222222222223
"{'open_window': 15, 'boll_length': 930}",1107.1349600000003,1107.1349600000003,1.3790174215273319,5.219642406077039,2.9523598933333335,0.1310670133883362,-2.1210935038595813,30,0.13111111111111112,0.006555555555555556
"{'open_window': 45, 'boll_length': 440}",1106.67836,1106.67836,1.260262393478418,3.7443114877596573,2.9511422933333327,0.14336136096770608,-2.9556257902628746,22,0.08444444444444445,0.004222222222222223
"{'open_window': 30, 'boll_length': 190}",1106.5632199999998,1106.5632199999998,1.1647485913206213,7.084224545142314,2.9508352533333357,0.15510221572968724,-1.5620103695877008,14,0.3333333333333333,0.016666666666666666
"{'open_window': 30, 'boll_length': 710}",1106.4300600000001,1106.4300600000001,1.3083512574726783,4.731228960188835,2.950480159999997,0.1380626560495929,-2.338567990072158,10,0.08222222222222222,0.004111111111111111
"{'open_window': 15, 'boll_length': 190}",1101.1806600000004,1101.1806600000004,1.099001960377103,6.503815144505551,2.9364817600000017,0.16362180187317701,-1.6931303174111314,4,0.7511111111111111,0.03755555555555556
"{'open_window': 45, 'boll_length': 430}",1099.0593599999997,1099.0593599999997,1.25741356083543,3.72843729626667,2.9308249599999963,0.1427467706910535,-2.947774825395348,22,0.08666666666666667,0.004333333333333333
"{'open_window': 45, 'boll_length': 280}",1098.8306799999998,1098.8306799999998,1.15892673238716,3.749893723559033,2.9302151466666615,0.15484694107994718,-2.9302981924434257,6,0.16444444444444445,0.008222222222222223
"{'open_window': 15, 'boll_length': 910}",1098.6285400000002,1098.6285400000002,1.3503925977699216,5.210358286433659,2.929676106666666,0.13286870011974553,-2.1085470127083705,30,0.13777777777777778,0.006888888888888888
"{'open_window': 30, 'boll_length': 450}",1098.4316199999998,1098.4316199999998,1.354505180521465,5.1716508093536016,2.9291509866666607,0.13244273288865308,-2.123947769275802,30,0.13777777777777778,0.006888888888888889
"{'open_window': 15, 'boll_length': 940}",1096.6424000000002,1096.6424000000002,1.3666310400018948,5.095436456328633,2.924379733333335,0.13106452199891294,-2.1522050356215296,30,0.13333333333333333,0.006666666666666668
"{'open_window': 15, 'boll_length': 890}",1096.56126,1096.56126,1.3463681746463467,5.271523953631316,2.924163359999999,0.1330276968727419,-2.080159873397953,29,0.14222222222222222,0.0071111111111111115
"{'open_window': 15, 'boll_length': 900}",1096.2224199999998,1096.2224199999998,1.348278903611934,5.2271385750321855,2.923259786666665,0.13280019025578416,-2.097174973007578,30,0.14222222222222222,0.0071111111111111115
"{'open_window': 30, 'boll_length': 470}",1091.4358,1091.4358,1.3612326794139693,5.077283682906585,2.910495466666667,0.13099083091931027,-2.1496451019163607,30,0.1288888888888889,0.006444444444444445
"{'open_window': 30, 'boll_length': 720}",1090.7381799999998,1090.7381799999998,1.2899056520926178,4.5954714132293795,2.9086351466666645,0.13815020464108863,-2.373506615360499,10,0.08222222222222222,0.004111111111111111
"{'open_window': 60, 'boll_length': 220}",1090.3126,1090.3126,1.3403271740262146,5.2952700012140435,2.9075002666666685,0.132903876239266,-2.059031172631472,29,0.14666666666666667,0.007333333333333333
"{'open_window': 30, 'boll_length': 680}",1087.3895600000003,1087.3895600000003,1.247427275253845,3.677430492903131,2.899705493333329,0.14243790875554044,-2.956927566947876,22,0.08444444444444445,0.004222222222222223
"{'open_window': 15, 'boll_length': 950}",1086.74876,1086.74876,1.3669577633364114,5.0493368514942425,2.8979966933333285,0.12990997205384924,-2.1522603699501612,30,0.1288888888888889,0.006444444444444445
"{'open_window': 45, 'boll_length': 270}",1086.6317800000002,1086.6317800000002,1.1417965950418618,3.72327594061394,2.897684746666667,0.1555121842388994,-2.9184830706391933,6,0.16666666666666666,0.008333333333333333
"{'open_window': 15, 'boll_length': 820}",1086.20618,1086.20618,1.1336755658048567,3.3854589737378857,2.896549813333333,0.15656789939438265,-3.208445851584843,6,0.1622222222222222,0.008111111111111112
"{'open_window': 15, 'boll_length': 180}",1084.6413400000006,1084.6413400000006,1.1158407131270613,6.084766742901083,2.8923769066666694,0.15885261590422883,-1.7825520448510535,12,0.8044444444444444,0.04022222222222223
"{'open_window': 60, 'boll_length': 100}",1083.0506200000007,1083.0506200000007,1.1334866744324736,6.738885676402198,2.888134986666664,0.15616167416999704,-1.6071657422421586,6,0.30444444444444446,0.015222222222222222
"{'open_window': 15, 'boll_length': 880}",1081.5884400000004,1081.5884400000004,1.3310211389174054,5.21694192888823,2.8842358399999966,0.1328153724347585,-2.073223077318197,29,0.14666666666666667,0.007333333333333334
"{'open_window': 60, 'boll_length': 350}",1081.30782,1081.30782,1.2801479008666512,4.651640690932346,2.883487519999998,0.13805942136087324,-2.3245729664972656,10,0.08,0.004
"{'open_window': 45, 'boll_length': 310}",1081.25774,1081.25774,1.1263872470282197,3.289867008619725,2.8833539733333304,0.15689870395128047,-3.2866305451467,6,0.13333333333333333,0.006666666666666668
"{'open_window': 15, 'boll_length': 310}",1081.1060199999997,1081.1060199999997,1.0377138475501113,6.70181248415419,2.8829493866666724,0.17028310047008458,-1.6131546839846331,4,0.43333333333333335,0.021666666666666667
"{'open_window': 45, 'boll_length': 290}",1080.5379199999998,1080.5379199999998,1.1343820061119694,3.6628527461022022,2.8814344533333327,0.1556943605983045,-2.9499900621171466,6,0.14666666666666667,0.007333333333333333
"{'open_window': 15, 'boll_length': 920}",1077.3262200000004,1077.3262200000004,1.338903204622525,5.0850919009153115,2.8728699199999967,0.1315389200057447,-2.118597344929167,30,0.13555555555555557,0.006777777777777778
"{'open_window': 45, 'boll_length': 320}",1076.9900000000002,1076.9900000000002,1.3602867932756317,5.000482799316519,2.871973333333333,0.12943273121999474,-2.153772032066996,30,0.12444444444444444,0.006222222222222223
"{'open_window': 30, 'boll_length': 480}",1075.0303399999998,1075.0303399999998,1.35764522541836,4.9965252219864515,2.8667475733333347,0.12946024504744594,-2.151555915838256,30,0.12666666666666668,0.006333333333333335
"{'open_window': 30, 'boll_length': 440}",1072.0910400000002,1072.0910400000002,1.3228353392917003,5.178066806635967,2.8589094399999957,0.13252154660272983,-2.0704465199754796,29,0.14666666666666667,0.007333333333333333
"{'open_window': 30, 'boll_length': 460}",1070.18524,1070.18524,1.3155478324906857,4.990902756501099,2.8538273066666693,0.13303041476296365,-2.144271872670708,30,0.13333333333333333,0.006666666666666668
"{'open_window': 15, 'boll_length': 460}",1062.50064,1062.50064,1.1164041259671018,3.7583962717602275,2.8333350399999984,0.15568964726169168,-2.8270053585977566,16,0.28444444444444444,0.014222222222222223
"{'open_window': 15, 'boll_length': 830}",1060.6273199999998,1060.6273199999998,1.1037299796696936,3.300804607590559,2.828339520000001,0.1572133169828877,-3.2132387284026827,6,0.16444444444444445,0.008222222222222223
"{'open_window': 15, 'boll_length': 850}",1059.9846999999997,1059.9846999999997,1.099399093991089,3.2857058592363373,2.8266258666666686,0.1577416613712583,-3.2260486647650257,6,0.15777777777777777,0.007888888888888888
"{'open_window': 45, 'boll_length': 700}",1059.152,1059.152,1.4671081009559344,7.424077869213473,2.82440533333333,0.11811770172041773,-1.4266445188999726,29,0.058888888888888886,0.0029444444444444444
"{'open_window': 45, 'boll_length': 650}",1058.38056,1058.38056,1.478383248652882,5.987041538357654,2.822348160000002,0.11713563486454508,-1.7677855635695694,90,0.06111111111111111,0.0030555555555555557
"{'open_window': 60, 'boll_length': 210}",1057.8563,1057.8563,1.3088822349660658,5.270402035034553,2.820950133333338,0.13224241918592208,-2.007164335790688,29,0.15555555555555556,0.007777777777777778
"{'open_window': 15, 'boll_length': 960}",1056.0564200000001,1056.0564200000001,1.3307150897674933,4.7638715248474615,2.816150453333333,0.12986217156116417,-2.21680289758405,30,0.1288888888888889,0.0064444444444444445
"{'open_window': 15, 'boll_length': 860}",1055.5277800000001,1055.5277800000001,1.0934933502862814,3.265405823984769,2.814740746666668,0.15795911781729197,-3.23245512777319,6,0.15555555555555556,0.0077777777777777776
"{'open_window': 15, 'boll_length': 840}",1052.5691599999996,1052.5691599999996,1.0936747378196625,3.2692115894916705,2.8068510933333357,0.1575116673114865,-3.219642201756861,6,0.16444444444444445,0.008222222222222223
"{'open_window': 30, 'boll_length': 410}",1052.52962,1052.52962,1.0978027819124416,3.2345393303089285,2.806745653333333,0.1569137702347418,-3.2540325298795287,6,0.16,0.008
"{'open_window': 45, 'boll_length': 710}",1051.9126,1051.9126,1.4568245576536514,7.264650174332292,2.8051002666666665,0.11817776885005933,-1.4479879619209377,29,0.056666666666666664,0.002833333333333333
"{'open_window': 45, 'boll_length': 330}",1050.09614,1050.09614,1.3183366053539929,4.752259103193533,2.80025637333333,0.13037743152145068,-2.209677791546195,30,0.12444444444444444,0.006222222222222222
"{'open_window': 45, 'boll_length': 110}",1049.8177999999994,1049.8177999999994,1.0809293336619876,6.6616604524395315,2.7995141333333367,0.15897244736195845,-1.5759101015356511,24,0.3888888888888889,0.019444444444444445
"{'open_window': 15, 'boll_length': 290}",1047.6080599999998,1047.6080599999998,1.003667468914662,4.168620665562333,2.7936214933333403,0.17086706715564157,-2.51308081028928,16,0.4622222222222222,0.023111111111111107
"{'open_window': 15, 'boll_length': 320}",1046.9294399999999,1046.9294399999999,1.0068271029754108,6.3697314558435005,2.7918118400000043,0.17022582863745098,-1.6436005933021927,4,0.42,0.020999999999999998
"{'open_window': 60, 'boll_length': 80}",1046.2781199999997,1046.2781199999997,1.0530405350086316,7.661243664861775,2.790074986666671,0.1626589679311906,-1.3656766000000062,2,0.4066666666666667,0.020333333333333335
"{'open_window': 15, 'boll_length': 970}",1043.13852,1043.13852,1.3128111605648067,4.70133693833644,2.7817027199999997,0.13010033946050742,-2.2188125073399068,30,0.12666666666666668,0.006333333333333333
"{'open_window': 45, 'boll_length': 450}",1041.6005,1041.6005,1.192562349000919,3.4221452864975506,2.777601333333332,0.14301761703228677,-3.043706250899833,22,0.08444444444444445,0.004222222222222223
"{'open_window': 15, 'boll_length': 330}",1040.47752,1040.47752,1.0586411213353593,6.831235833755934,2.7746067200000013,0.1609443903677997,-1.5231175519641336,16,0.39555555555555555,0.01977777777777778
"{'open_window': 45, 'boll_length': 300}",1038.3265599999997,1038.3265599999997,1.0735543213991103,3.155615508648749,2.7688708266666673,0.15839623265097408,-3.2904089777547614,6,0.14,0.007
"{'open_window': 45, 'boll_length': 480}",1037.06116,1037.06116,1.233677155058471,4.371171820076472,2.765496426666664,0.13767752811766426,-2.372501477148194,10,0.08,0.004
"{'open_window': 60, 'boll_length': 240}",1035.75736,1035.75736,1.3151103577083252,4.781651728387381,2.762019626666667,0.12899774472844378,-2.1661079033652477,30,0.12666666666666668,0.006333333333333335
"{'open_window': 60, 'boll_length': 530}",1035.53884,1035.53884,1.4294266619294436,6.684806691504527,2.7614369066666695,0.11865749413205613,-1.549093171708359,29,0.058888888888888886,0.0029444444444444444
"{'open_window': 15, 'boll_length': 410}",1035.4967000000001,1035.4967000000001,1.095223434975852,5.154791267439657,2.761324533333334,0.1548593714434373,-2.0088043264539848,16,0.3111111111111111,0.015555555555555555
"{'open_window': 15, 'boll_length': 870}",1035.20598,1035.20598,1.0694588961928375,3.149433478524932,2.7605492800000007,0.15854771603654888,-3.286959343827288,6,0.15777777777777777,0.007888888888888888
"{'open_window': 30, 'boll_length': 880}",1034.98468,1034.98468,1.4555504637052317,5.551309034622959,2.7599591466666653,0.11646847690987766,-1.86439752055759,45,0.07,0.0035000000000000005
"{'open_window': 30, 'boll_length': 970}",1032.59486,1032.59486,1.4404923258103222,5.560832302791391,2.7535862933333335,0.11742715928952005,-1.8569070307724704,45,0.06555555555555556,0.003277777777777778
"{'open_window': 15, 'boll_length': 170}",1031.1882000000005,1031.1882000000005,1.0424790451287282,5.443466876050403,2.7498351999999984,0.1620497207024145,-1.894359281466217,12,0.8644444444444445,0.04322222222222223
"{'open_window': 30, 'boll_length': 490}",1029.9868200000003,1029.9868200000003,1.2970464335343053,4.529415183796158,2.746631519999999,0.13010017073377717,-2.2739951587673954,30,0.1288888888888889,0.006444444444444445
"{'open_window': 45, 'boll_length': 140}",1029.9103,1029.9103,1.07675523849129,6.2551101296023335,2.7464274666666695,0.1567060133666707,-1.6465102590695349,9,0.30444444444444446,0.015222222222222222
"{'open_window': 45, 'boll_length': 350}",1029.82454,1029.82454,1.4120619036201005,8.053407985370443,2.746198773333332,0.11948529779041983,-1.278743783837532,47,0.11555555555555555,0.005777777777777778
"{'open_window': 45, 'boll_length': 720}",1029.7611000000002,1029.7611000000002,1.4247150551487175,7.007930146974614,2.7460295999999986,0.11841717815907221,-1.4694226089632996,29,0.056666666666666664,0.002833333333333333
"{'open_window': 15, 'boll_length': 810}",1028.1606399999998,1028.1606399999998,1.073614385275029,3.2066451426387896,2.741761706666666,0.1569101064627559,-3.20634368402209,6,0.16444444444444445,0.008222222222222223
"{'open_window': 30, 'boll_length': 400}",1026.60872,1026.60872,1.0482498505030826,3.158704550519614,2.7376232533333322,0.16047576784340006,-3.250094155944785,6,0.16444444444444445,0.008222222222222223
"{'open_window': 30, 'boll_length': 170}",1025.2087200000003,1025.2087200000003,1.1074006420939648,6.849090070430922,2.733889920000004,0.15170673576395366,-1.4968539024272152,11,0.3711111111111111,0.018555555555555554
"{'open_window': 60, 'boll_length': 230}",1024.83192,1024.83192,1.2574401828372237,4.751865909002034,2.73288512,0.13355808845760608,-2.156693685439518,30,0.13777777777777778,0.00688888888888889
"{'open_window': 45, 'boll_length': 490}",1024.7276399999998,1024.7276399999998,1.2098315804035629,4.2534716046060534,2.7326070399999955,0.1388003325397661,-2.409155944265217,10,0.08222222222222222,0.004111111111111111
"{'open_window': 60, 'boll_length': 360}",1024.6755400000002,1024.6755400000002,1.221658676644054,4.309142324963652,2.7324681066666594,0.13744992306673323,-2.377910643758188,10,0.08,0.004
