"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 180, 'boll_dev': 2.400000000000001, 'bias': 0.22}",25174.8381,25174.8381,1.7784151440972127,29.20548333793122,66.90986870431888,1.2133263669399308,-8.619901204409668,14,0.28460686600221485,0.14230343300110743
"{'boll_length': 180, 'boll_dev': 2.3000000000000007, 'bias': 0.22}",24863.34904,24863.34904,1.763737375729395,30.755646384660917,66.08199080398671,1.2147714683573718,-8.084157532907634,14,0.3067552602436323,0.15337763012181616
"{'boll_length': 180, 'boll_dev': 2.500000000000001, 'bias': 0.22}",24849.796120000003,24849.796120000003,1.7501967127593625,27.303219527505068,66.04596975415285,1.2237885971895357,-9.10141607841028,19,0.26688815060908083,0.13344407530454042
"{'boll_length': 140, 'boll_dev': 2.800000000000001, 'bias': 0.28}",24757.39232,24757.39232,1.7158500701129464,30.400178007960484,65.80037825913621,1.2456308768207816,-8.143831366223289,23,0.25692137320044295,0.12846068660022147
"{'boll_length': 180, 'boll_dev': 2.1000000000000005, 'bias': 0.22}",24640.937020000005,24640.937020000005,1.6826152122123417,20.054807417476738,65.49086251162798,1.2668125107382644,-12.286798126282036,30,0.34219269102990035,0.17109634551495018
"{'boll_length': 120, 'boll_dev': 1.8000000000000003, 'bias': 0.22}",24166.440199999997,24166.440199999997,1.457936505939444,17.41788301173462,64.22974139534887,1.4693934828347812,-13.874499090227449,95,0.4983388704318937,0.24916943521594684
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.22}",24121.09464,24121.09464,1.7580222601189273,32.91138293320239,64.10922163455153,1.197719450302121,-7.329103942230771,20,0.2336655592469546,0.1168327796234773
"{'boll_length': 180, 'boll_dev': 2.600000000000001, 'bias': 0.22}",23859.16486,23859.16486,1.6767143750127602,29.110854738791744,63.41306275083056,1.2479148854984567,-8.195968505248459,6,0.2558139534883721,0.12790697674418605
"{'boll_length': 180, 'boll_dev': 2.2000000000000006, 'bias': 0.22}",23732.583740000002,23732.583740000002,1.6149506709666615,16.58703502534068,63.07663452491695,1.2916624128214245,-14.30791199496642,29,0.32447397563676633,0.16223698781838317
"{'boll_length': 200, 'boll_dev': 2.800000000000001, 'bias': 0.25}",23605.84764,23605.84764,1.6619245545395163,32.086111392089975,62.73979439202664,1.2512681503762142,-7.357029760178246,48,0.1982281284606866,0.0991140642303433
"{'boll_length': 180, 'boll_dev': 2.800000000000001, 'bias': 0.22}",23441.255400000002,23441.255400000002,1.6966141570184188,30.715713216985282,62.30233993355486,1.220719534938715,-7.631681945460212,20,0.22259136212624583,0.11129568106312292
"{'boll_length': 180, 'boll_dev': 2.600000000000001, 'bias': 0.28}",23409.462359999998,23409.462359999998,1.5104944386600285,14.81172667234314,62.217840159468466,1.3700535173371342,-15.80468157281811,13,0.20930232558139536,0.10465116279069768
"{'boll_length': 200, 'boll_dev': 2.700000000000001, 'bias': 0.25}",23349.015700000004,23349.015700000004,1.6589559773554143,31.99535508116873,62.05718458471769,1.2455733863540595,-7.297626683862743,48,0.2070874861572536,0.1035437430786268
"{'boll_length': 180, 'boll_dev': 2.800000000000001, 'bias': 0.28}",23332.55756,23332.55756,1.4522696670470348,13.42130422426255,62.01344201993361,1.4222596392492075,-17.384716991825776,13,0.18715393133997785,0.09357696566998892
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.28}",23288.253559999997,23288.253559999997,1.4716643370927176,13.758277513426114,61.89569052491698,1.4019655589947189,-16.92672177696227,13,0.19601328903654486,0.09800664451827243
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.25}",23287.197200000002,23287.197200000002,1.6318388670091484,19.956260553867036,61.8928829235881,1.2643210756026366,-11.669118639307168,20,0.20930232558139536,0.10465116279069768
"{'boll_length': 180, 'boll_dev': 2.400000000000001, 'bias': 0.25}",23190.90748,23190.90748,1.6344088751683927,16.52438047341677,61.636963401993334,1.259292201635796,-14.034358212283873,20,0.2469545957918051,0.12347729789590255
"{'boll_length': 180, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",23187.3327,23187.3327,1.4491707095665174,12.983315909392896,61.627462325581405,1.420131907291792,-17.859330283433156,39,0.18272425249169436,0.09136212624584718
"{'boll_length': 180, 'boll_dev': 2.400000000000001, 'bias': 0.31000000000000005}",23186.006899999997,23186.006899999997,1.4352078438231504,14.475261271738084,61.62393860465112,1.4339003472572809,-16.01767765343829,20,0.2203765227021041,0.11018826135105204
"{'boll_length': 180, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",23144.50548,23144.50548,1.6788410874230684,30.108006522596433,61.51363582724255,1.2245341215904249,-7.68715971368937,39,0.21373200442967885,0.10686600221483943
"{'boll_length': 140, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",23085.08142,23085.08142,1.626782393316997,27.311713955641313,61.35569812624594,1.261827992067376,-8.452446982087604,23,0.24141749723145073,0.12070874861572536
"{'boll_length': 140, 'boll_dev': 2.800000000000001, 'bias': 0.25}",23076.710400000004,23076.710400000004,1.621545833707814,27.469083104358397,61.33344956810631,1.2656351667873083,-8.400975857959569,23,0.2702104097452935,0.13510520487264674
"{'boll_length': 180, 'boll_dev': 2.600000000000001, 'bias': 0.31000000000000005}",22986.724560000002,22986.724560000002,1.4261060081006158,13.563010994538862,61.09428454485054,1.4358061157798074,-16.948098448976857,20,0.20044296788482835,0.10022148394241417
"{'boll_length': 180, 'boll_dev': 2.3000000000000007, 'bias': 0.25}",22884.778420000002,22884.778420000002,1.59852644543865,17.06446721967148,60.823331348837215,1.2776150216527604,-13.410778154045744,20,0.26688815060908083,0.13344407530454042
"{'boll_length': 180, 'boll_dev': 2.500000000000001, 'bias': 0.28}",22876.84564,22876.84564,1.4863949990607512,14.859199929258795,60.802247548172815,1.3737179521054457,-15.395745227812654,19,0.2159468438538206,0.1079734219269103
"{'boll_length': 120, 'boll_dev': 2.0000000000000004, 'bias': 0.22}",22828.32108,22828.32108,1.3978551536580133,14.979724259280726,60.67327861794026,1.509532380188378,-15.23948016990812,41,0.4673311184939092,0.2336655592469546
"{'boll_length': 180, 'boll_dev': 2.800000000000001, 'bias': 0.25}",22797.8623,22797.8623,1.5926220055333613,18.542368589180175,60.59232504983398,1.2795006932713757,-12.295010850611083,20,0.20044296788482835,0.10022148394241417
"{'boll_length': 180, 'boll_dev': 2.3000000000000007, 'bias': 0.31000000000000005}",22775.047720000002,22775.047720000002,1.4142249628110053,14.589698395637019,60.531688292358815,1.4400588321174148,-15.610362258626797,20,0.23809523809523808,0.11904761904761904
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",22768.879419999997,22768.879419999997,1.3849273231259547,12.550456164801476,60.5152941395349,1.470289599129138,-18.14187398531117,20,0.18715393133997785,0.09357696566998892
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",22695.8887,22695.8887,1.3785223123753996,12.51022287905652,60.32129887043192,1.4743457872323589,-18.14187398531117,20,0.18272425249169436,0.09136212624584718
"{'boll_length': 180, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",22583.38622,22583.38622,1.5945760200439287,22.385262736870526,60.02228895681069,1.2708739929334083,-10.088506212975187,15,0.19601328903654486,0.09800664451827243
"{'boll_length': 200, 'boll_dev': 2.600000000000001, 'bias': 0.25}",22564.200360000003,22564.200360000003,1.55221913466121,27.594543719104546,59.97129663787379,1.3049025496439743,-8.177051445274715,48,0.2203765227021041,0.11018826135105204
