"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 580, 'boll_dev': 2.800000000000001, 'bias': 0.25}",13.515512000000005,13.515512000000005,0.8382169779038909,1.7122964415441486,0.04443455999999893,0.0034195226883332944,-0.07893208017071733,12,0.4575342465753425,0.00045753424657534256
"{'boll_length': 600, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",12.7223726,12.7223726,0.7949052378638457,1.5700215649313773,0.04182697841095992,0.0033943716864027786,-0.08103310734178597,12,0.4438356164383562,0.00044383561643835626
"{'boll_length': 600, 'boll_dev': 2.600000000000001, 'bias': 0.22}",12.721167599999994,12.721167599999994,0.7956428406244382,1.5183693611778937,0.04182301676712502,0.0033909039294112288,-0.08378177224369125,12,0.7095890410958904,0.0007095890410958907
"{'boll_length': 420, 'boll_dev': 2.800000000000001, 'bias': 0.22}",12.534815600000002,12.534815600000002,0.7638904379305584,1.6513576024680354,0.041210352657535795,0.003480146997221239,-0.07590612464112298,12,0.5835616438356165,0.0005835616438356167
"{'boll_length': 600, 'boll_dev': 2.500000000000001, 'bias': 0.22}",12.533738999999994,12.533738999999994,0.7807252306073105,1.4861254028041913,0.041206813150685626,0.0034048122455784023,-0.08433836724915757,12,0.7753424657534247,0.000775342465753425
"{'boll_length': 480, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",12.533057599999994,12.533057599999994,0.7740039160149781,1.6446415872640068,0.04120457293150469,0.0034341924453978457,-0.07620540363964096,12,0.5452054794520548,0.000545205479452055
"{'boll_length': 540, 'boll_dev': 2.800000000000001, 'bias': 0.25}",12.532581,12.532581,0.7716974895024797,1.6457439630337778,0.041203006027396856,0.003444325555830295,-0.07615146269105684,12,0.44931506849315067,0.00044931506849315076
"{'boll_length': 580, 'boll_dev': 2.700000000000001, 'bias': 0.25}",12.458211000000002,12.458211000000002,0.7636063892849664,1.5755793029948835,0.04095850191780602,0.003460178497190073,-0.07907066928537705,12,0.4849315068493151,0.0004849315068493152
"{'boll_length': 420, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",12.417171999999999,12.417171999999999,0.7574176299300656,1.6274723806856541,0.04082357917807828,0.00347696686460083,-0.07629728250606291,12,0.5506849315068493,0.0005506849315068495
"{'boll_length': 440, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",12.407131800000002,12.407131800000002,0.759093541679022,1.6382608191229953,0.04079057030137232,0.003466487046744743,-0.07573355631274034,3,0.5424657534246575,0.0005424657534246577
"{'boll_length': 540, 'boll_dev': 2.700000000000001, 'bias': 0.22}",12.234978399999996,12.234978399999996,0.7640380501326998,1.612248736012668,0.04022458652055082,0.0033962952389045625,-0.07588766005337243,12,0.6191780821917808,0.000619178082191781
"{'boll_length': 600, 'boll_dev': 2.700000000000001, 'bias': 0.22}",12.2229342,12.2229342,0.770771345425817,1.4749272956706356,0.04018498915068195,0.0033633138155159384,-0.08287143533025089,12,0.6575342465753424,0.0006575342465753427
"{'boll_length': 600, 'boll_dev': 2.600000000000001, 'bias': 0.25}",12.201963199999998,12.201963199999998,0.7472864121970073,1.456520526433125,0.04011604339726137,0.0034630643239685357,-0.08377474246711604,12,0.5260273972602739,0.0005260273972602741
"{'boll_length': 540, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",12.1470254,12.1470254,0.7489624437874578,1.589290049216306,0.03993542597260278,0.003439766983446591,-0.0764305131463563,12,0.4328767123287671,0.0004328767123287672
"{'boll_length': 520, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",12.128133999999996,12.128133999999996,0.7600644373333286,1.5880730078978997,0.03987331726027438,0.0033842552284662135,-0.07637012870116022,12,0.5589041095890411,0.0005589041095890413
"{'boll_length': 580, 'boll_dev': 2.700000000000001, 'bias': 0.22}",12.109459399999997,12.109459399999997,0.7628459048325361,1.531260553886068,0.039811921315069845,0.0033667267996057917,-0.07908163877968873,12,0.6273972602739726,0.0006273972602739729
"{'boll_length': 540, 'boll_dev': 2.800000000000001, 'bias': 0.22}",12.0696546,12.0696546,0.758120724867282,1.584751380887101,0.03968105621917765,0.0033765818058678503,-0.07616118683072925,12,0.5945205479452055,0.0005945205479452057
"{'boll_length': 600, 'boll_dev': 2.700000000000001, 'bias': 0.25}",12.068454200000003,12.068454200000003,0.7425417269165022,1.4564392500561687,0.039677109698631675,0.003447081980354972,-0.0828627366334369,12,0.4958904109589041,0.0004958904109589042
"{'boll_length': 600, 'boll_dev': 2.800000000000001, 'bias': 0.22}",12.001236999999996,12.001236999999996,0.7593032118661245,1.4808825252688387,0.03945612164383926,0.0033522242443790196,-0.08104111430325919,12,0.6082191780821918,0.0006082191780821919
"{'boll_length': 560, 'boll_dev': 2.600000000000001, 'bias': 0.25}",11.961282399999998,11.961282399999998,0.7276459204616067,1.568685262458817,0.03932476405479213,0.0034864287908032286,-0.07625036510670537,3,0.5150684931506849,0.000515068493150685
"{'boll_length': 540, 'boll_dev': 2.700000000000001, 'bias': 0.25}",11.958746599999998,11.958746599999998,0.7312715947297321,1.576022287198091,0.039316427178083514,0.0034684079139175638,-0.0758792987709653,12,0.4657534246575342,0.00046575342465753435
"{'boll_length': 580, 'boll_dev': 2.600000000000001, 'bias': 0.25}",11.9291236,11.9291236,0.7264246658891017,1.474316880142983,0.03921903649315317,0.003482906436350223,-0.08091288759336351,12,0.5287671232876713,0.0005287671232876714
"{'boll_length': 560, 'boll_dev': 2.700000000000001, 'bias': 0.25}",11.832120999999997,11.832120999999997,0.7239584041196169,1.5572788002613012,0.038900123835614524,0.0034663702149742735,-0.07597946493597721,12,0.4657534246575342,0.00046575342465753435
"{'boll_length': 580, 'boll_dev': 2.9000000000000012, 'bias': 0.25}",11.820509600000001,11.820509600000001,0.7344644784861915,1.4975361805747094,0.03886194936986347,0.003413434797639986,-0.07893304851882632,12,0.44931506849315067,0.00044931506849315076
"{'boll_length': 540, 'boll_dev': 2.600000000000001, 'bias': 0.25}",11.771133,11.771133,0.7134500578165429,1.5507636504432332,0.03869961534246681,0.0034993063782896975,-0.07590539665174602,3,0.5013698630136987,0.0005013698630136988
"{'boll_length': 600, 'boll_dev': 2.9000000000000012, 'bias': 0.22}",11.759711999999995,11.759711999999995,0.747558465104567,1.4510970895399231,0.038662066849311894,0.0033364071946353152,-0.0810401460024119,12,0.5780821917808219,0.0005780821917808222
"{'boll_length': 560, 'boll_dev': 2.800000000000001, 'bias': 0.22}",11.7288626,11.7288626,0.7372865056009646,1.5380109487802147,0.03856064416438375,0.003374021219787105,-0.07625994216297441,12,0.5945205479452055,0.0005945205479452057
"{'boll_length': 520, 'boll_dev': 2.700000000000001, 'bias': 0.22}",11.701449999999998,11.701449999999998,0.7219741960941468,1.543600721767825,0.03847052054794923,0.0034375323678099605,-0.07580619673849345,12,0.6219178082191781,0.0006219178082191783
"{'boll_length': 520, 'boll_dev': 2.800000000000001, 'bias': 0.22}",11.668419200000002,11.668419200000002,0.7245302287248893,1.5335570624123784,0.038361926136984296,0.0034157416928551937,-0.07608728417085608,12,0.589041095890411,0.0005890410958904112
"{'boll_length': 560, 'boll_dev': 2.700000000000001, 'bias': 0.22}",11.628851399999995,11.628851399999995,0.7288610378994982,1.5303054837362626,0.03823184021918037,0.003383938421507506,-0.07599039226866448,12,0.6246575342465753,0.0006246575342465755
"{'boll_length': 580, 'boll_dev': 2.800000000000001, 'bias': 0.22}",11.615780799999996,11.615780799999996,0.7343092470366522,1.4714386920773317,0.03818886838356357,0.0033550582129389826,-0.07894165664219271,12,0.5917808219178082,0.0005917808219178084
