"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：AberrationBiasStrategy,回测指标为：total_net_pnl。'
'回测时间为：2020-10-06 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'boll_length': 180, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1922.8834000000002,1922.8834000000002,1.8330722770386179,18.45703504271293,5.110653554817275,0.16460423223343199,-1.0418159772412514,14,0.3920265780730897,0.019601328903654486
"{'boll_length': 180, 'boll_dev': 2.500000000000001, 'bias': 0.31000000000000005}",1900.9556800000003,1900.9556800000003,1.7581360332017242,17.131188428244975,5.052373900332222,0.16982379134450906,-1.109646121728371,17,0.4629014396456257,0.023145071982281284
"{'boll_length': 180, 'boll_dev': 2.600000000000001, 'bias': 0.31000000000000005}",1891.6481599999997,1891.6481599999997,1.7752433258452998,17.529824710629914,5.027636305647838,0.16743116422498153,-1.0791027242006146,12,0.4407530454042082,0.022037652270210407
"{'boll_length': 180, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",1849.3370400000003,1849.3370400000003,1.7965255875087454,17.536563286029182,4.9151815016611256,0.16204386464275947,-1.05456069689168,14,0.40753045404208194,0.020376522702104095
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1848.7501,1848.7501,1.7202055027339396,15.539743061818687,4.913621528239199,0.1691838367020131,-1.1896915493682756,12,0.42524916943521596,0.021262458471760795
"{'boll_length': 240, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1846.8609800000002,1846.8609800000002,1.8599866512719256,24.69342726157411,4.908600611295676,0.15632231280694955,-0.7479160184758686,7,0.292358803986711,0.01461794019933555
"{'boll_length': 160, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1845.44716,1845.44716,1.6934373025780474,10.054019361042092,4.904842950166112,0.17157568197396625,-1.8355317348510858,14,0.4629014396456257,0.023145071982281284
"{'boll_length': 240, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1812.4308,1812.4308,1.818364838703352,18.01489832337717,4.817091827242525,0.15715445617286522,-1.0060732886002943,8,0.30564784053156147,0.015282392026578074
"{'boll_length': 160, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1799.48894,1799.48894,1.6194589535380661,11.93927475470029,4.782694857142857,0.1752952513225651,-1.5072012136177466,4,0.49169435215946844,0.02458471760797342
"{'boll_length': 160, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1796.9423199999997,1796.9423199999997,1.657182075947795,9.195382143032308,4.775926431893685,0.17108147509566946,-1.954179056453473,14,0.4496124031007752,0.022480620155038756
"{'boll_length': 240, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1790.0013,1790.0013,1.797522591714212,17.79330369837982,4.757478538205978,0.15716266306511206,-1.0059971606975882,8,0.33222591362126247,0.016611295681063124
"{'boll_length': 200, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1788.1002600000002,1788.1002600000002,1.7071593016192488,12.994228274817218,4.752425940199331,0.16531953837698946,-1.3760726856440813,15,0.3433001107419712,0.01716500553709856
"{'boll_length': 240, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1781.4596800000004,1781.4596800000004,1.8428196739681393,23.726738025173464,4.734776558139528,0.15262484324395748,-0.7508236817509064,7,0.31893687707641194,0.0159468438538206
"{'boll_length': 260, 'boll_dev': 2.800000000000001, 'bias': 0.3400000000000001}",1777.22184,1777.22184,1.8233096336677461,20.461416320850095,4.723513196013279,0.153919464152311,-0.8685722494141399,7,0.2768549280177187,0.013842746400885935
"{'boll_length': 180, 'boll_dev': 2.600000000000001, 'bias': 0.28}",1772.7648200000003,1772.7648200000003,1.7798398799998925,16.30865686496787,4.71166729568106,0.1573138463958658,-1.087008473277785,12,0.4717607973421927,0.023588039867109636
"{'boll_length': 240, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1770.9188000000001,1770.9188000000001,1.8447404241799903,23.152904075903464,4.706760930232554,0.15163348629455592,-0.7648797724010328,7,0.2812846068660022,0.01406423034330011
"{'boll_length': 220, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1764.9524999999999,1764.9524999999999,1.7268646096629663,17.64287237904564,4.690903654485052,0.16148030001901864,-1.0003770713074063,15,0.30564784053156147,0.015282392026578074
"{'boll_length': 180, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1764.4651800000001,1764.4651800000001,1.6345674970089956,13.877309155892718,4.689608451827239,0.17055493368266253,-1.271475010161285,12,0.416389811738649,0.020819490586932447
"{'boll_length': 260, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1758.2356,1758.2356,1.8332234622340153,20.226865796611964,4.673051428571417,0.15157718576720305,-0.86925755956442,9,0.26799557032115173,0.013399778516057587
"{'boll_length': 200, 'boll_dev': 2.800000000000001, 'bias': 0.28}",1744.6741400000003,1744.6741400000003,1.7371518235332573,13.451043754313575,4.637007681063128,0.1588203158408202,-1.2970548396591959,15,0.39867109634551495,0.019933554817275746
"{'boll_length': 160, 'boll_dev': 2.800000000000001, 'bias': 0.28}",1738.3787200000002,1738.3787200000002,1.6279859743026233,9.379853156437823,4.620275667774086,0.16890510941861916,-1.8533112310045823,15,0.47619047619047616,0.023809523809523808
"{'boll_length': 180, 'boll_dev': 2.700000000000001, 'bias': 0.28}",1734.7017000000005,1734.7017000000005,1.6373710287043233,14.440906815916946,4.610502857142853,0.1676087155074881,-1.2012415301288344,13,0.4496124031007752,0.022480620155038756
"{'boll_length': 240, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1733.1671000000001,1733.1671000000001,1.8688920130996416,22.53945827833917,4.606424186046509,0.14672505453541718,-0.7689479838411222,7,0.3034330011074197,0.015171650055370987
"{'boll_length': 260, 'boll_dev': 2.700000000000001, 'bias': 0.3400000000000001}",1730.0323799999999,1730.0323799999999,1.7799553411841158,20.331348759845977,4.59809270431893,0.15379872775815115,-0.8509186480617449,7,0.292358803986711,0.014617940199335547
"{'boll_length': 140, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1719.04694,1719.04694,1.6039413768398958,11.17279229637834,4.568895521594684,0.16967416212986042,-1.5386009999999988,4,0.5071982281284607,0.025359911406423033
"{'boll_length': 200, 'boll_dev': 2.800000000000001, 'bias': 0.31000000000000005}",1717.4213000000002,1717.4213000000002,1.7262416350792948,13.256674553257458,4.564574883720934,0.1575152643668961,-1.295514416606081,15,0.3743078626799557,0.018715393133997782
"{'boll_length': 220, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1715.08438,1715.08438,1.7657884969504687,17.014940881436306,4.558363800664453,0.153793737762732,-1.0079872695127592,15,0.3300110741971207,0.016500553709856036
"{'boll_length': 260, 'boll_dev': 2.700000000000001, 'bias': 0.31000000000000005}",1710.8518399999998,1710.8518399999998,1.786407265971323,20.064468983102596,4.547114524916934,0.15167161200277168,-0.8526773578911058,7,0.31007751937984496,0.01550387596899225
"{'boll_length': 280, 'boll_dev': 2.9000000000000012, 'bias': 0.3400000000000001}",1707.7049000000004,1707.7049000000004,1.8291984855755201,16.451880249533545,4.5387505647840465,0.14787142671540238,-1.0379998359448404,9,0.2602436323366556,0.01301218161683278
"{'boll_length': 200, 'boll_dev': 2.9000000000000012, 'bias': 0.28}",1705.7151200000003,1705.7151200000003,1.6765153998004114,12.227349348256418,4.533462112956811,0.1611643945941156,-1.3949999066995087,15,0.3787375415282392,0.01893687707641196
"{'boll_length': 200, 'boll_dev': 2.9000000000000012, 'bias': 0.31000000000000005}",1702.88138,1702.88138,1.7139889766552756,12.285617438961857,4.525930578073087,0.15739845800031657,-1.3860771658081952,15,0.3610188261351052,0.01805094130675526
