"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVix,回测指标为：total_net_pnl。'
'回测时间为：2020-10-07 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 15, 'boll_window': 350}",17336.961840000004,17336.961840000004,1.0768971355294792,11.672436951613294,46.180586477247545,1.6056669033462134,-14.852906819602744,18,0.3374028856825749,0.16870144284128746
"{'open_window': 30, 'boll_window': 350}",17336.961840000004,17336.961840000004,1.0768971355294792,11.672436951613294,46.180586477247545,1.6056669033462134,-14.852906819602744,18,0.3374028856825749,0.16870144284128746
"{'open_window': 45, 'boll_window': 350}",17336.961840000004,17336.961840000004,1.0768971355294792,11.672436951613294,46.180586477247545,1.6056669033462134,-14.852906819602744,18,0.3374028856825749,0.16870144284128746
"{'open_window': 60, 'boll_window': 350}",17336.961840000004,17336.961840000004,1.0768971355294792,11.672436951613294,46.180586477247545,1.6056669033462134,-14.852906819602744,18,0.3374028856825749,0.16870144284128746
"{'open_window': 15, 'boll_window': 360}",16909.309160000004,16909.309160000004,1.072706603403359,12.980200542670538,45.041445043285286,1.5866662500535909,-13.027001473831703,30,0.34406215316315203,0.17203107658157601
"{'open_window': 30, 'boll_window': 360}",16909.309160000004,16909.309160000004,1.072706603403359,12.980200542670538,45.041445043285286,1.5866662500535909,-13.027001473831703,30,0.34406215316315203,0.17203107658157601
"{'open_window': 45, 'boll_window': 360}",16909.309160000004,16909.309160000004,1.072706603403359,12.980200542670538,45.041445043285286,1.5866662500535909,-13.027001473831703,30,0.34406215316315203,0.17203107658157601
"{'open_window': 60, 'boll_window': 360}",16909.309160000004,16909.309160000004,1.072706603403359,12.980200542670538,45.041445043285286,1.5866662500535909,-13.027001473831703,30,0.34406215316315203,0.17203107658157601
