"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVix,回测指标为：total_net_pnl。'
'回测时间为：2020-10-08 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 15, 'boll_window': 480}",7.750639800000004,7.750639800000004,0.452691091407047,0.9070439520678176,0.025551559780224952,0.0036420139000737494,-0.08544944026507406,8,0.27197802197802196,0.00027197802197802197
"{'open_window': 30, 'boll_window': 480}",7.750639800000004,7.750639800000004,0.452691091407047,0.9070439520678176,0.025551559780224952,0.0036420139000737494,-0.08544944026507406,8,0.27197802197802196,0.00027197802197802197
"{'open_window': 45, 'boll_window': 480}",7.750639800000004,7.750639800000004,0.452691091407047,0.9070439520678176,0.025551559780224952,0.0036420139000737494,-0.08544944026507406,8,0.27197802197802196,0.00027197802197802197
"{'open_window': 60, 'boll_window': 480}",7.750639800000004,7.750639800000004,0.452691091407047,0.9070439520678176,0.025551559780224952,0.0036420139000737494,-0.08544944026507406,8,0.27197802197802196,0.00027197802197802197
"{'open_window': 15, 'boll_window': 470}",7.716531800000006,7.716531800000006,0.4515201764876357,0.8972171717859353,0.025439115824181256,0.0036353959701912967,-0.08600517291306049,8,0.2774725274725275,0.0002774725274725275
"{'open_window': 30, 'boll_window': 470}",7.716531800000006,7.716531800000006,0.4515201764876357,0.8972171717859353,0.025439115824181256,0.0036353959701912967,-0.08600517291306049,8,0.2774725274725275,0.0002774725274725275
"{'open_window': 45, 'boll_window': 470}",7.716531800000006,7.716531800000006,0.4515201764876357,0.8972171717859353,0.025439115824181256,0.0036353959701912967,-0.08600517291306049,8,0.2774725274725275,0.0002774725274725275
