"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVix,回测指标为：total_net_pnl。'
'回测时间为：2020-10-08 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 15, 'boll_window': 80}",812.7588200000002,812.7588200000002,0.7765944419386775,2.5074875232914033,2.1649513518313017,0.17439124813122556,-3.241327474017297,316,0.08879023307436182,0.004439511653718091
"{'open_window': 30, 'boll_window': 80}",812.7588200000002,812.7588200000002,0.7765944419386775,2.5074875232914033,2.1649513518313017,0.17439124813122556,-3.241327474017297,316,0.08879023307436182,0.004439511653718091
"{'open_window': 45, 'boll_window': 80}",812.7588200000002,812.7588200000002,0.7765944419386775,2.5074875232914033,2.1649513518313017,0.17439124813122556,-3.241327474017297,316,0.08879023307436182,0.004439511653718091
"{'open_window': 60, 'boll_window': 80}",812.7588200000002,812.7588200000002,0.7765944419386775,2.5074875232914033,2.1649513518313017,0.17439124813122556,-3.241327474017297,316,0.08879023307436182,0.004439511653718091
"{'open_window': 15, 'boll_window': 50}",705.8005199999996,705.8005199999996,0.739606905910369,2.7911384018672494,1.8800457802441717,0.17602739011830648,-2.5287191761176175,290,0.097669256381798,0.004883462819089901
"{'open_window': 30, 'boll_window': 50}",705.8005199999996,705.8005199999996,0.739606905910369,2.7911384018672494,1.8800457802441717,0.17602739011830648,-2.5287191761176175,290,0.097669256381798,0.004883462819089901
"{'open_window': 45, 'boll_window': 50}",705.8005199999996,705.8005199999996,0.739606905910369,2.7911384018672494,1.8800457802441717,0.17602739011830648,-2.5287191761176175,290,0.097669256381798,0.004883462819089901
