"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleHourV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-20 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 45, 'exit_window': 40}",10831.93432,10831.93432,1.0656752588636669,5.211625577109443,49.14299124385634,2.011560985110324,-20.784175992182057,9,0.6767485822306238,0.3383742911153119
"{'entry_window': 20, 'exit_window': 45}",10636.096979999998,10636.096979999998,1.0023956412333332,3.6349545522353965,48.25450425708883,2.0851667857649665,-29.26060512492265,10,0.7107750472589792,0.3553875236294896
"{'entry_window': 50, 'exit_window': 40}",10348.36934,10348.36934,0.9765152044276226,3.6990998011898446,46.94912365973534,2.1247905653257977,-27.975372107212042,33,0.6578449905482041,0.32892249527410206
"{'entry_window': 45, 'exit_window': 45}",10313.04436,10313.04436,1.0426596030586261,4.738396114409774,46.788859100189,1.9851175854268786,-21.76484217652751,9,0.6465028355387523,0.32325141776937616
"{'entry_window': 45, 'exit_window': 30}",10310.47148,10310.47148,1.114447521703644,7.1421722272610335,46.777186298676725,1.8569119834829322,-14.436044318065932,9,0.7863894139886578,0.3931947069943289
"{'entry_window': 165, 'exit_window': 45}",10238.597539999999,10238.597539999999,1.3574382854527385,6.777423890552857,46.45110415122871,1.5209780613133943,-15.106916293477992,19,0.33648393194706994,0.16824196597353497
"{'entry_window': 50, 'exit_window': 45}",10203.05638,10203.05638,0.9937549772225152,4.1454505350710305,46.28985881285444,2.06680912989376,-24.612659815093355,16,0.6238185255198487,0.31190926275992437
"{'entry_window': 200, 'exit_window': 45}",10198.87722,10198.87722,1.4036930726592554,7.859624322124002,46.270898540642705,1.466759864258504,-12.976290980335087,19,0.31001890359168244,0.15500945179584122
"{'entry_window': 160, 'exit_window': 45}",10153.04746,10153.04746,1.356191583118075,6.7760999791332495,46.06297524385633,1.513229041098196,-14.98361519349764,19,0.34782608695652173,0.17391304347826086
"{'entry_window': 195, 'exit_window': 45}",10071.84322,10071.84322,1.4004654918120183,7.837275157984028,45.69456281285442,1.4569473523190066,-12.851205319414566,52,0.31758034026465026,0.15879017013232513
"{'entry_window': 170, 'exit_window': 45}",9951.75954,9951.75954,1.3152283069065567,6.513377017875751,45.14975972778824,1.5380077757764337,-15.278955160568339,19,0.3440453686200378,0.1720226843100189
"{'entry_window': 145, 'exit_window': 45}",9925.257539999999,9925.257539999999,1.2925551949046068,6.54272579407931,45.02952381096407,1.574361040132529,-15.169912132007173,19,0.3856332703213611,0.19281663516068054
"{'entry_window': 460, 'exit_window': 45}",9913.63334,9913.63334,1.4071680662629775,7.645200759318732,44.9767864196597,1.4335386581792076,-12.967132783159773,22,0.13988657844990549,0.06994328922495274
"{'entry_window': 150, 'exit_window': 45}",9878.421460000001,9878.421460000001,1.2918436513905853,6.483828884869544,44.81703497920604,1.5698932782417276,-15.235475265320412,19,0.3818525519848771,0.19092627599243855
"{'entry_window': 460, 'exit_window': 30}",9803.3855,9803.3855,1.4571449169282764,9.215722792380088,44.47660718336483,1.3732138250284807,-10.637674028244222,22,0.17391304347826086,0.08695652173913043
"{'entry_window': 455, 'exit_window': 45}",9755.786339999999,9755.786339999999,1.3855531881683467,7.523472230244833,44.260656362948936,1.4390815942652384,-12.967132783159773,22,0.14366729678638943,0.07183364839319471
"{'entry_window': 465, 'exit_window': 45}",9719.68134,9719.68134,1.3795904933589702,7.478603273926867,44.096852960302435,1.4414183913513268,-12.99665323053884,22,0.13988657844990549,0.06994328922495274
"{'entry_window': 155, 'exit_window': 45}",9701.57146,9701.57146,1.3110791861761855,6.469537507635302,44.014690933837386,1.5268950089102387,-14.995772802229318,19,0.3667296786389414,0.1833648393194707
"{'entry_window': 465, 'exit_window': 30}",9677.0605,9677.0605,1.442195641063863,9.116393098073765,43.903488090737234,1.3744534129082646,-10.615010120663511,22,0.17013232514177692,0.08506616257088846
"{'entry_window': 460, 'exit_window': 25}",9658.7805,9658.7805,1.448861079955555,9.319132676381809,43.82055425330814,1.3662516552785477,-10.364462912389893,21,0.18525519848771266,0.09262759924385633
"{'entry_window': 370, 'exit_window': 45}",9654.452679999999,9654.452679999999,1.3973366402574525,6.973901026708282,43.8009195311909,1.416168454690935,-13.843690415200724,89,0.17391304347826086,0.08695652173913043
"{'entry_window': 375, 'exit_window': 45}",9654.452679999999,9654.452679999999,1.3973366402574525,6.973901026708282,43.8009195311909,1.416168454690935,-13.843690415200724,89,0.17391304347826086,0.08695652173913043
