"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleHourV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-20 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 110, 'exit_window': 145}",8.173334400000002,8.173334400000002,1.165313438868997,3.8222060522482755,0.03708129028355946,0.002056767157801056,-0.021383814185510906,29,0.2741020793950851,0.0002741020793950851
"{'entry_window': 110, 'exit_window': 160}",8.1051444,8.1051444,1.1530503495288287,3.7090644833781345,0.03677192166352205,0.0020613366906204102,-0.021852260688170432,29,0.27032136105860116,0.00027032136105860116
"{'entry_window': 110, 'exit_window': 140}",8.0796344,8.0796344,1.15239603397861,3.8853219616877372,0.036656186313799785,0.00205602959203467,-0.02079527637521792,29,0.28166351606805295,0.00028166351606805296
"{'entry_window': 90, 'exit_window': 65}",8.034134400000003,8.034134400000003,1.2983345325759812,4.8826820314942525,0.036449759092633156,0.001812867218353716,-0.016454346910528862,38,0.46313799621928164,0.00046313799621928173
"{'entry_window': 110, 'exit_window': 150}",8.009664400000002,8.009664400000002,1.135463197049372,3.7317376385801992,0.03633874207939233,0.002068658753071094,-0.021463632162112025,29,0.2741020793950851,0.0002741020793950851
"{'entry_window': 85, 'exit_window': 145}",8.008506800000003,8.008506800000003,1.1293068707298248,3.744997744427222,0.03633349020794547,0.002077565508916962,-0.021384543720803156,29,0.29678638941398866,0.0002967863894139887
"{'entry_window': 105, 'exit_window': 145}",7.990572400000002,7.990572400000002,1.1364297214452224,3.736738593556563,0.036252124310021956,0.0020599259341977953,-0.021383814253903656,29,0.28166351606805295,0.00028166351606805296
"{'entry_window': 150, 'exit_window': 65}",7.973188800000003,7.973188800000003,1.3376815682726906,5.226511150998284,0.03617325731569541,0.0017448422777925213,-0.01525527941995931,37,0.32325141776937616,0.0003232514177693762
"{'entry_window': 110, 'exit_window': 155}",7.952568399999999,7.952568399999999,1.1242857558653245,3.6391775377083384,0.03607970540642885,0.0020743645094139034,-0.021852653017330526,29,0.2741020793950851,0.0002741020793950851
"{'entry_window': 100, 'exit_window': 65}",7.926936000000001,7.926936000000001,1.299446164931254,4.383681877451259,0.03596341474480175,0.0017871765804636894,-0.01808282676891895,25,0.4215500945179584,0.0004215500945179585
"{'entry_window': 90, 'exit_window': 60}",7.9256024000000025,7.9256024000000025,1.2838930315363397,5.039895260950295,0.035957364385636584,0.0018085225613171656,-0.015725728392431557,38,0.4669187145557656,0.00046691871455576566
"{'entry_window': 105, 'exit_window': 160}",7.9223824,7.9223824,1.1242541275749676,3.6254291890959496,0.03594275568998454,0.002064486325913631,-0.02185226075806025,29,0.277882797731569,0.00027788279773156903
"{'entry_window': 85, 'exit_window': 140}",7.914806800000003,7.914806800000003,1.1165034360237946,3.805930079154659,0.03590838623818579,0.0020768323815469796,-0.02079598583103263,29,0.30434782608695654,0.0003043478260869566
"{'entry_window': 105, 'exit_window': 140}",7.896872400000001,7.896872400000001,1.1235225764440098,3.7974356446449273,0.03582702034026228,0.0020591864742211625,-0.020795276441710076,29,0.2892249527410208,0.0002892249527410208
"{'entry_window': 110, 'exit_window': 165}",7.8856644000000005,7.8856644000000005,1.119910272985594,3.6085742335122037,0.0357761711909275,0.0020649876874268332,-0.021852576363172664,29,0.27032136105860116,0.00027032136105860116
"{'entry_window': 85, 'exit_window': 65}",7.861828600000001,7.861828600000001,1.25792129509727,4.329534874766188,0.035668031455575844,0.0018310270232788568,-0.018158598619498156,52,0.4820415879017013,0.00048204158790170134
"{'entry_window': 105, 'exit_window': 150}",7.826902400000002,7.826902400000002,1.1068028558662666,3.6465880126216983,0.03550957610586491,0.0020717941235936332,-0.02146363223076012,29,0.28166351606805295,0.00028166351606805296
"{'entry_window': 145, 'exit_window': 65}",7.823772800000002,7.823772800000002,1.3079487958329359,4.651784188372601,0.035495377542531646,0.0017510784403093037,-0.016818864511289344,37,0.3270321361058601,0.00032703213610586014
"{'entry_window': 95, 'exit_window': 65}",7.8236684000000025,7.8236684000000025,1.2663750297378489,3.7428850171989096,0.03549490389413956,0.0018099861828321288,-0.020902775169553522,53,0.44801512287334594,0.0004480151228733459
"{'entry_window': 85, 'exit_window': 60}",7.819106600000001,7.819106600000001,1.2547563176044159,4.4860114051961215,0.03547420763705085,0.0018256823100982192,-0.017429974856825223,52,0.4820415879017013,0.00048204158790170134
