"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleHourV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-20 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 285, 'exit_window': 55}",365.78999999999985,365.78999999999985,1.5111850586822841,7.627370981926081,1.6595387523629452,0.06962088956078961,-0.4795754669161628,33,0.18525519848771266,0.009262759924385635
"{'entry_window': 280, 'exit_window': 55}",365.11109999999996,365.11109999999996,1.5066854114194321,7.815930519765728,1.6564586767485803,0.06970150431016167,-0.46713708505554025,33,0.1890359168241966,0.00945179584120983
"{'entry_window': 285, 'exit_window': 45}",356.4058999999999,356.4058999999999,1.4977926299255278,6.0362558313807755,1.6169643856332743,0.06847253713284454,-0.5904420057002024,33,0.19281663516068054,0.009640831758034027
"{'entry_window': 280, 'exit_window': 45}",355.727,355.727,1.4932020001820603,6.154528417368689,1.613884310018899,0.06855447506286598,-0.5779922942529637,33,0.19659735349716445,0.009829867674858224
"{'entry_window': 80, 'exit_window': 175}",353.8291999999998,353.8291999999998,1.158394372429537,3.9349106253304376,1.605274253308128,0.08814633877979502,-0.8992051756456012,55,0.27032136105860116,0.013516068052930057
"{'entry_window': 80, 'exit_window': 145}",352.8603999999998,352.8603999999998,1.1558716065605605,4.265718529609552,1.6008789413988618,0.08810164457395232,-0.8272003826569798,102,0.3270321361058601,0.016351606805293007
"{'entry_window': 290, 'exit_window': 55}",351.37099999999987,351.37099999999987,1.4505716977509935,7.193838717875533,1.594121739130426,0.06971980219484009,-0.48843324653206033,33,0.1890359168241966,0.00945179584120983
"{'entry_window': 85, 'exit_window': 145}",350.2081999999998,350.2081999999998,1.149816189918996,4.22403954407003,1.5888462759924364,0.08791306101603498,-0.829083620894704,102,0.31947069943289225,0.015973534971644613
"{'entry_window': 295, 'exit_window': 55}",349.70159999999987,349.70159999999987,1.444962884380846,7.161218549606192,1.586547901701327,0.06966354691612071,-0.48832694823876244,33,0.1890359168241966,0.00945179584120983
"{'entry_window': 80, 'exit_window': 180}",349.47389999999984,349.47389999999984,1.1441974107055854,3.885789518152519,1.5855148582230585,0.08816318459494316,-0.8993639474485867,55,0.27032136105860116,0.013516068052930057
"{'entry_window': 85, 'exit_window': 175}",348.4301999999998,348.4301999999998,1.14295845131573,3.8569003721527126,1.5807797353497088,0.08800034915140016,-0.9033943487773409,55,0.2665406427221172,0.013327032136105862
"{'entry_window': 70, 'exit_window': 175}",347.9521799999999,347.9521799999999,1.1359774118904629,3.7689617521092824,1.5786110245746674,0.08820335849409439,-0.9232043275718299,53,0.28544423440453687,0.014272211720226843
"{'entry_window': 285, 'exit_window': 60}",346.5426999999999,346.5426999999999,1.4243372295563075,6.940394899258155,1.5722164083175847,0.0700446950781143,-0.49931265443849926,33,0.18525519848771266,0.009262759924385635
"{'entry_window': 280, 'exit_window': 60}",345.8637999999999,345.8637999999999,1.4199646608998753,7.103798370337549,1.5691363327032097,0.07012505625691899,-0.48687164523725757,33,0.1890359168241966,0.00945179584120983
"{'entry_window': 80, 'exit_window': 150}",344.8010999999998,344.8010999999998,1.1214173258223712,4.170107412210189,1.5643150094517888,0.0887747593933344,-0.826839853070478,55,0.31947069943289225,0.015973534971644613
"{'entry_window': 300, 'exit_window': 55}",344.5740999999998,344.5740999999998,1.4265102220627348,8.220162313783824,1.5632851417769336,0.06954735480592646,-0.4191816254311749,31,0.1890359168241966,0.00945179584120983
"{'entry_window': 285, 'exit_window': 40}",344.1095999999999,344.1095999999999,1.481718905251894,6.248546887882314,1.561177769376181,0.0668672783091142,-0.550703397404803,33,0.20415879017013233,0.010207939508506616
"{'entry_window': 85, 'exit_window': 180}",344.07489999999984,344.07489999999984,1.1288214689948992,3.8080174679992163,1.5610203402646496,0.08801034289606784,-0.9035538909457299,55,0.2665406427221172,0.013327032136105862
"{'entry_window': 70, 'exit_window': 180}",343.59687999999994,343.59687999999994,1.1217765075829316,3.721128744201917,1.558851629489598,0.08822094868880528,-0.9233673533477575,53,0.28544423440453687,0.014272211720226843
"{'entry_window': 280, 'exit_window': 40}",343.43069999999994,343.43069999999994,1.4769914257061756,6.380590997524674,1.5580976937618163,0.06695116727574711,-0.5382427742715885,33,0.20793950850661624,0.010396975425330813
"{'entry_window': 100, 'exit_window': 175}",342.1982999999998,342.1982999999998,1.1393887807201442,4.053308014765911,1.5525064650283582,0.08672775266130296,-0.8442445004263104,14,0.24007561436672967,0.012003780718336484
