"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleMinuteV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-19 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 650, 'exit_window': 170}",8618.31974,8618.31974,1.1963068187063548,5.451429842010978,39.100127364839295,1.5215670053894212,-15.809283050079175,33,0.46880907372400754,0.23440453686200377
"{'entry_window': 650, 'exit_window': 120}",8573.61238,8573.61238,1.2390579297838393,6.820334842520256,38.897296241965975,1.4633862773040807,-12.570661965962762,26,0.5141776937618148,0.2570888468809074
"{'entry_window': 640, 'exit_window': 170}",8464.34074,8464.34074,1.1774828460875957,5.35403200334098,38.40154589035917,1.5252370416827887,-15.809283050079175,33,0.48015122873345933,0.24007561436672967
"{'entry_window': 640, 'exit_window': 120}",8419.63338,8419.63338,1.2194939649451857,6.697844077581291,38.198714767485846,1.4668715934958045,-12.570661965962762,26,0.5255198487712666,0.2627599243856333
"{'entry_window': 650, 'exit_window': 150}",8306.94074,8306.94074,1.113396762978514,5.037408594515765,37.68744381096411,1.5905103312594264,-16.490504163279084,33,0.4877126654064272,0.2438563327032136
"{'entry_window': 620, 'exit_window': 170}",8256.55776,8256.55776,1.159328757014069,5.235385376228925,37.45886318336484,1.5335745762760689,-15.770678119491638,33,0.499054820415879,0.2495274102079395
"{'entry_window': 610, 'exit_window': 120}",8249.4655,8249.4655,1.1944904702329098,6.461795137541566,37.42668657844992,1.4874837008019823,-12.766522807373567,26,0.5519848771266541,0.27599243856332706
"{'entry_window': 620, 'exit_window': 120}",8237.299400000002,8237.299400000002,1.2044225569229257,6.47034699274287,37.371490661625714,1.4735910049133547,-12.730846443380766,26,0.5444234404536862,0.2722117202268431
"{'entry_window': 630, 'exit_window': 170}",8231.37274,8231.37274,1.145328630280768,5.206670482099296,37.34460222306237,1.5355903083402238,-15.809283050079175,33,0.4914933837429111,0.24574669187145556
"{'entry_window': 610, 'exit_window': 170}",8226.308860000001,8226.308860000001,1.1450863032117327,5.175252933499205,37.321628098298675,1.548413201481879,-15.895472097124824,33,0.5066162570888468,0.2533081285444234
"{'entry_window': 650, 'exit_window': 180}",8223.33474,8223.33474,1.1199003878424538,5.04696773238535,37.30813492627598,1.5693039517617735,-16.293614653473128,33,0.46502835538752363,0.23251417769376181
"{'entry_window': 630, 'exit_window': 120}",8212.114379999999,8212.114379999999,1.190342248033425,6.532762079066098,37.257229701323254,1.4749206911802057,-12.570661965962762,26,0.5368620037807184,0.2684310018903592
"{'entry_window': 650, 'exit_window': 110}",8168.89852,8168.89852,1.1748167011883253,6.473425598705656,37.06116530812856,1.4884900636992524,-12.619127841112984,26,0.5406427221172023,0.27032136105860116
"{'entry_window': 640, 'exit_window': 150}",8152.96174,8152.96174,1.09528674580268,4.944034251029724,36.98886233648396,1.5942246314170727,-16.490504163279084,33,0.499054820415879,0.2495274102079395
"{'entry_window': 650, 'exit_window': 130}",8134.211379999999,8134.211379999999,1.174427454679352,6.073034217972631,36.90379454064272,1.4842182299941582,-13.393982460904782,26,0.502835538752363,0.2514177693761815
"{'entry_window': 590, 'exit_window': 170}",8134.146680000001,8134.146680000001,1.1310453108448426,5.139538876108495,36.9035010056711,1.554509716102614,-15.826607943004678,33,0.5103969754253308,0.2551984877126654
"{'entry_window': 590, 'exit_window': 120}",8115.2685,8115.2685,1.1708104386648255,6.1759003472411464,36.81785330812857,1.49910744843743,-13.140219310088447,93,0.5633270321361059,0.28166351606805295
"{'entry_window': 640, 'exit_window': 180}",8069.355739999999,8069.355739999999,1.1012816746708662,4.952465067829467,36.60955345179584,1.5732706996130248,-16.293614653473128,33,0.4763705103969754,0.2381852551984877
"{'entry_window': 640, 'exit_window': 110}",8025.398520000001,8025.398520000001,1.1564745824039253,6.359709340492878,36.410125610586,1.492018341367447,-12.619127841112984,26,0.5519848771266541,0.27599243856332706
"{'entry_window': 650, 'exit_window': 190}",8004.580739999999,8004.580739999999,1.0762422826127942,4.466548493811391,36.31567821550091,1.600101724241333,-17.921177282840898,33,0.46502835538752363,0.23251417769376181
"{'entry_window': 610, 'exit_window': 150}",7982.793860000001,7982.793860000001,1.0734865883734772,4.812558549301431,36.216834147448026,1.6149954732585297,-16.58742180115138,33,0.5255198487712666,0.2627599243856333
"{'entry_window': 640, 'exit_window': 130}",7980.23238,7980.23238,1.1547936534191465,5.9580728907874985,36.20521306616258,1.487827776513225,-13.393982460904782,26,0.5141776937618148,0.2570888468809074
"{'entry_window': 620, 'exit_window': 150}",7970.627760000001,7970.627760000001,1.0815972093151358,4.846214767498661,36.16163823062382,1.601047169623357,-16.44712036588916,33,0.5179584120982986,0.2589792060491493
"{'entry_window': 600, 'exit_window': 120}",7957.3634999999995,7957.3634999999995,1.1457899186018141,6.00254809213049,36.10146011342157,1.5094666480493493,-13.256642642201118,93,0.5671077504725898,0.2835538752362949
"{'entry_window': 630, 'exit_window': 150}",7945.44274,7945.44274,1.0678384762334265,4.818192737668292,36.04737727032137,1.603671582708473,-16.490504163279084,33,0.5103969754253308,0.2551984877126654
"{'entry_window': 600, 'exit_window': 170}",7934.206860000002,7934.206860000002,1.0969969661139791,4.949671649428352,35.99640163327032,1.5731609486788571,-16.02976403680502,33,0.5217391304347826,0.2608695652173913
"{'entry_window': 590, 'exit_window': 150}",7902.10868,7902.10868,1.063579430082547,4.78747923027636,35.85077662003781,1.6176569728383388,-16.50578164397352,33,0.5293005671077504,0.2646502835538752
"{'entry_window': 580, 'exit_window': 170}",7890.565680000001,7890.565680000001,1.0908429229207044,4.678361541938928,35.798407621928156,1.5754952106576305,-16.866087858463768,33,0.5217391304347826,0.2608695652173913
"{'entry_window': 580, 'exit_window': 120}",7883.663500000001,7883.663500000001,1.1303651166886375,5.724479582311159,35.767093383742896,1.5194097285412707,-13.7718431634568,93,0.5746691871455577,0.28733459357277885
"{'entry_window': 620, 'exit_window': 180}",7861.572760000001,7861.572760000001,1.083359858223386,4.836825716590293,35.66687074480149,1.5819878858847582,-16.253578732503907,33,0.4952741020793951,0.24763705103969755
"{'entry_window': 610, 'exit_window': 110}",7855.23064,7855.23064,1.1326175506345821,6.029963882511965,35.63809742155013,1.5122739691593505,-13.026994511163922,26,0.5784499054820416,0.2892249527410208
"{'entry_window': 640, 'exit_window': 190}",7850.601740000001,7850.601740000001,1.0578843104511058,4.3806283572211315,35.61709674102079,1.6040922220253766,-17.921177282840898,33,0.4763705103969754,0.2381852551984877
"{'entry_window': 620, 'exit_window': 110}",7843.06454,7843.06454,1.1412147713381762,6.038109718764867,35.58290150472591,1.4991271469610776,-12.98927132050252,26,0.5708884688090737,0.28544423440453687
"{'entry_window': 650, 'exit_window': 200}",7842.7737400000005,7842.7737400000005,1.0475685504003855,4.1856723343992615,35.581582185255186,1.6186620596942238,-18.737189902672142,33,0.4612476370510397,0.23062381852551986
"{'entry_window': 570, 'exit_window': 120}",7839.506660000001,7839.506660000001,1.1356618986757345,5.741015992140894,35.56675989413992,1.5059502176945765,-13.655260098093821,93,0.5784499054820416,0.2892249527410208
