"回测数据基于BINANCE交易所的eosusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.001,合约乘数为：1,盘口一跳为：0.001,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleMinuteV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-20 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 370, 'exit_window': 250}",7.610250599999996,7.610250599999996,1.2636400123302574,5.1083068338549795,0.03452665678639335,0.0017644814948609103,-0.014897794606941805,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 370, 'exit_window': 300}",7.574862599999997,7.574862599999997,1.2307015127743413,5.013455419654292,0.0343661063137969,0.001803291674719204,-0.015109065436791561,30,0.6011342155009451,0.0006011342155009453
"{'entry_window': 370, 'exit_window': 260}",7.5722745999999965,7.5722745999999965,1.2573153421696186,5.082811756610855,0.034354364914926716,0.0017645187226858368,-0.014897806494898627,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 380, 'exit_window': 250}",7.571594199999998,7.571594199999998,1.2579286370447766,5.01933883680047,0.03435127803402585,0.0017635001618558643,-0.015084843733774118,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 380, 'exit_window': 260}",7.533618199999998,7.533618199999998,1.251600753749077,4.994159914021379,0.034178986162569286,0.0017635370937175167,-0.015084855770934765,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 360, 'exit_window': 300}",7.518799799999995,7.518799799999995,1.2171034212010667,4.75971837133817,0.034111757126650676,0.001809959585528576,-0.0157967325236627,30,0.6124763705103969,0.0006124763705103971
"{'entry_window': 350, 'exit_window': 250}",7.515259599999995,7.515259599999995,1.244622338600841,4.732194147026518,0.0340956957277958,0.0017691085523714037,-0.01588113117616673,30,0.6389413988657845,0.0006389413988657844
"{'entry_window': 360, 'exit_window': 250}",7.503403799999995,7.503403799999995,1.2409692649600401,4.8358923846403234,0.034041907599243484,0.0017715206027205206,-0.015516068603660615,26,0.6313799621928167,0.0006313799621928167
"{'entry_window': 350, 'exit_window': 300}",7.489945599999994,7.489945599999994,1.2129200815659709,4.53657903994329,0.03398084960302933,0.001809240632832256,-0.016510118161844427,30,0.6162570888468809,0.000616257088846881
"{'entry_window': 350, 'exit_window': 260}",7.4772835999999945,7.4772835999999945,1.2382641768036322,4.708277734649174,0.03392340385632916,0.0017692177508725783,-0.015881143852182648,30,0.6389413988657845,0.0006389413988657844
"{'entry_window': 360, 'exit_window': 260}",7.465427799999995,7.465427799999995,1.2346708011465062,4.811413273284979,0.03386961572778693,0.0017715568742638372,-0.015516080984875993,26,0.6313799621928167,0.0006313799621928167
"{'entry_window': 370, 'exit_window': 270}",7.428502599999996,7.428502599999996,1.2303626154543337,4.986296327102433,0.03370209119092551,0.0017689776188184324,-0.014897836214873691,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 380, 'exit_window': 270}",7.393854199999998,7.393854199999998,1.2253286328536082,4.901498272315679,0.03354489618147269,0.0017679702342214506,-0.015084885863902244,25,0.6162570888468809,0.000616257088846881
"{'entry_window': 370, 'exit_window': 240}",7.388900599999994,7.388900599999994,1.2286718852490028,4.9597525586345865,0.03352242238185493,0.0017619797196853444,-0.014897720224241752,25,0.6200378071833649,0.0006200378071833649
"{'entry_window': 380, 'exit_window': 300}",7.384848199999998,7.384848199999998,1.1995274740736142,4.8956341833372505,0.033504037202260695,0.0018038011704420405,-0.01508455886089961,25,0.6086956521739131,0.0006086956521739131
