"回测数据基于BINANCE交易所的ethusdt的1m分钟数据,开始时间为：2019-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.05,合约乘数为：1,盘口一跳为：0.05,合约方向：False(注：F 正向，T 反向)。'
'策略名为：SuperTurtleMinuteV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-19 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'entry_window': 455, 'exit_window': 210}",337.5960600000001,337.5960600000001,1.2921486709914827,5.677322365468681,1.531626737240078,0.07569555799244357,-0.594639582302688,26,0.5217391304347826,0.02608695652173913
"{'entry_window': 460, 'exit_window': 210}",336.50776000000013,336.50776000000013,1.288745449931781,5.634703539480093,1.5266892703213608,0.07565620855111965,-0.5972057937781925,26,0.5179584120982986,0.025897920604914932
"{'entry_window': 455, 'exit_window': 215}",332.24736,332.24736,1.269991185491392,5.5713161928308805,1.5073604234404525,0.07582280364488252,-0.5963534441422167,26,0.5217391304347826,0.02608695652173913
"{'entry_window': 430, 'exit_window': 210}",331.24704,331.24704,1.2621117964290127,5.158073762685729,1.502822109640832,0.0760722539442134,-0.6421913591005431,26,0.5406427221172023,0.027032136105860114
"{'entry_window': 460, 'exit_window': 215}",331.15906000000007,331.15906000000007,1.2665793349460601,5.529259285336496,1.5024229565217355,0.07578349803498793,-0.5989211988633405,26,0.5179584120982986,0.025897920604914932
"{'entry_window': 455, 'exit_window': 175}",330.08416000000005,330.08416000000005,1.2864126362284494,5.76013665440448,1.4975462835538722,0.07437823326921317,-0.5730491823446601,14,0.5330812854442344,0.02665406427221172
"{'entry_window': 460, 'exit_window': 175}",328.9958600000001,328.9958600000001,1.2829963665301718,5.7393565568734015,1.4926088166351548,0.07433579492288853,-0.5732277769116753,14,0.5293005671077504,0.026465028355387523
"{'entry_window': 450, 'exit_window': 210}",327.83385999999996,327.83385999999996,1.2516400131533605,5.511881788629636,1.4873369829867662,0.07593483656509231,-0.5947766526420839,26,0.5293005671077504,0.026465028355387523
"{'entry_window': 455, 'exit_window': 220}",327.00346,327.00346,1.2480535784699391,5.472982732190403,1.4835695727788252,0.07596437051471966,-0.597486738038959,26,0.5217391304347826,0.02608695652173913
"{'entry_window': 470, 'exit_window': 210}",325.95812000000006,325.95812000000006,1.2476600046709911,5.454366705737794,1.4788270094517884,0.07575072661028237,-0.5976094706963915,26,0.5217391304347826,0.026086956521739132
"{'entry_window': 460, 'exit_window': 220}",325.91516000000007,325.91516000000007,1.2446333541661356,5.431417142300786,1.478632105860118,0.07592514513922483,-0.6000554762434267,26,0.5179584120982986,0.025897920604914932
"{'entry_window': 430, 'exit_window': 215}",325.89833999999996,325.89833999999996,1.2401423814641765,5.061136287590714,1.4785557958412066,0.07619700484778007,-0.6439232644239636,26,0.5406427221172023,0.027032136105860114
"{'entry_window': 440, 'exit_window': 210}",325.8165600000001,325.8165600000001,1.2419504673988164,5.23641304129272,1.4781847712665337,0.07606739864792485,-0.6222132544371705,26,0.5368620037807184,0.026843100189035917
"{'entry_window': 435, 'exit_window': 210}",324.56246000000004,324.56246000000004,1.236466201106808,5.036849595270403,1.4724950926275977,0.07611711589023028,-0.6443759216172814,26,0.5444234404536862,0.02722117202268431
"{'entry_window': 455, 'exit_window': 225}",324.10226,324.10226,1.2362702538361847,5.423785398709629,1.4704072287334538,0.07602283257197949,-0.5975573076270787,26,0.5217391304347826,0.02608695652173913
"{'entry_window': 430, 'exit_window': 175}",323.83534,323.83534,1.256129108372269,5.63543266764429,1.4691962495274122,0.07476141407907849,-0.574641485576243,26,0.5519848771266541,0.027599243856332705
"{'entry_window': 460, 'exit_window': 225}",323.0139600000001,323.0139600000001,1.2328448752078742,5.382432358680649,1.4654697618147465,0.07598364179693855,-0.6001263712660536,26,0.5179584120982986,0.025897920604914932
"{'entry_window': 465, 'exit_window': 210}",322.6884200000002,322.6884200000002,1.235327759543083,5.399973307267784,1.46399283175804,0.07575616179054934,-0.5975741020158328,26,0.5255198487712666,0.026275992438563326
"{'entry_window': 450, 'exit_window': 215}",322.48515999999995,322.48515999999995,1.2296069643505894,5.406370946536087,1.463070669187151,0.07606172312860834,-0.59649099773041,26,0.5293005671077504,0.026465028355387523
"{'entry_window': 455, 'exit_window': 180}",321.80075999999997,321.80075999999997,1.2489920536970982,5.491776415288707,1.4599656408317556,0.07472573636393966,-0.5859684292756885,14,0.5330812854442344,0.02665406427221172
"{'entry_window': 425, 'exit_window': 210}",321.50904,321.50904,1.2254013311872796,5.003953898818463,1.4586421474480094,0.07609753395565744,-0.6425099960971136,26,0.555765595463138,0.0277882797731569
"{'entry_window': 445, 'exit_window': 210}",321.3246600000001,321.3246600000001,1.22600150758626,5.123076364817024,1.4578056408317568,0.07601718008381439,-0.6272103656441907,26,0.5406427221172023,0.027032136105860114
"{'entry_window': 460, 'exit_window': 180}",320.71246000000014,320.71246000000014,1.2455626700134725,5.471498186001672,1.4550281739130384,0.0746835636548308,-0.5861510853106237,14,0.5293005671077504,0.026465028355387523
"{'entry_window': 470, 'exit_window': 215}",320.60942000000006,320.60942000000006,1.2255741002026388,5.349497865654993,1.454560695652173,0.07587776283334194,-0.5993261948161266,26,0.5217391304347826,0.026086956521739132
"{'entry_window': 430, 'exit_window': 220}",320.60454000000004,320.60454000000004,1.2181750476651347,4.970090583140482,1.454538555765596,0.07633826819438176,-0.6450678003486564,26,0.5406427221172023,0.027032136105860114
"{'entry_window': 440, 'exit_window': 215}",320.4678600000001,320.4678600000001,1.2199703316389283,5.136211428036614,1.4539184574669186,0.07619413938221874,-0.6239382168940485,26,0.5368620037807184,0.026843100189035917
"{'entry_window': 450, 'exit_window': 175}",320.32196,320.32196,1.2451108180419972,5.588377923863582,1.45325652930056,0.07462167223333768,-0.5731930881627645,14,0.5406427221172023,0.027032136105860114
"{'entry_window': 435, 'exit_window': 215}",319.2137600000001,319.2137600000001,1.2145410053808112,4.9405535391700095,1.4482287788279824,0.07624172798065154,-0.6461093022658096,26,0.5444234404536862,0.02722117202268431
"{'entry_window': 470, 'exit_window': 175}",318.4462200000001,318.4462200000001,1.2411598569057205,5.551553583999185,1.4447465557655925,0.0744303287859374,-0.5736164033755026,14,0.5330812854442344,0.026654064272211724
"{'entry_window': 480, 'exit_window': 210}",318.3169200000001,318.3169200000001,1.2201098839346685,5.424000007367242,1.4441599395085027,0.07568436245505121,-0.5868674770789816,14,0.5179584120982986,0.025897920604914935
"{'entry_window': 440, 'exit_window': 175}",318.30466,318.30466,1.2352185841856878,5.553782916298939,1.4441043175803379,0.07475656338695386,-0.573131259894686,14,0.5482041587901701,0.027410207939508508
"{'entry_window': 465, 'exit_window': 215}",317.3397200000001,317.3397200000001,1.2132588324505946,5.2952551142419475,1.4397265179584144,0.07588313013663582,-0.5992907105580123,26,0.5255198487712666,0.026275992438563326
"{'entry_window': 450, 'exit_window': 220}",317.24126,317.24126,1.2078014856601325,5.308370087662545,1.4392798185255133,0.07620286230027667,-0.5976246093642099,26,0.5293005671077504,0.026465028355387523
"{'entry_window': 435, 'exit_window': 175}",317.05056,317.05056,1.229625041345189,5.496628425146832,1.4384146389414016,0.0748071437555557,-0.5768091554988661,26,0.555765595463138,0.0277882797731569
